"donor_id","cohort","condition","gart_threshold","group","n_cells"
"SCP259_N44","SCP259","UC",2,"GART-undetected ISC-like",162
"SCP259_N44","SCP259","UC",2,"GART-detected ISC-like",44
"SCP259_N46","SCP259","Healthy",1,"Myeloid",1443
"SCP259_N46","SCP259","Healthy",1,"Fibroblast",996
"SCP259_N46","SCP259","Healthy",1,"Endothelial",160
"SCP259_N46","SCP259","Healthy",1,"Other epithelial",3074
"SCP259_N46","SCP259","Healthy",1,"T/NK",2142
"SCP259_N46","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N46","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N46","SCP259","Healthy",2,"Myeloid",1443
"SCP259_N46","SCP259","Healthy",2,"Fibroblast",996
"SCP259_N46","SCP259","Healthy",2,"Endothelial",160
"SCP259_N46","SCP259","Healthy",2,"Other epithelial",3074
"SCP259_N46","SCP259","Healthy",2,"T/NK",2142
"SCP259_N46","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N46","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N49","SCP259","UC",1,"Myeloid",635
"SCP259_N49","SCP259","UC",1,"Fibroblast",1054
"SCP259_N49","SCP259","UC",1,"Endothelial",313
"SCP259_N49","SCP259","UC",1,"Other epithelial",631
"SCP259_N49","SCP259","UC",1,"T/NK",2405
"SCP259_N49","SCP259","UC",1,"GART-undetected ISC-like",302
"SCP259_N49","SCP259","UC",1,"GART-detected ISC-like",140
"SCP259_N49","SCP259","UC",2,"Myeloid",635
"SCP259_N49","SCP259","UC",2,"Fibroblast",1054
"SCP259_N49","SCP259","UC",2,"Endothelial",313
"SCP259_N49","SCP259","UC",2,"Other epithelial",631
"SCP259_N49","SCP259","UC",2,"T/NK",2405
"SCP259_N49","SCP259","UC",2,"GART-undetected ISC-like",302
"SCP259_N49","SCP259","UC",2,"GART-detected ISC-like",42
"SCP259_N50","SCP259","UC",1,"Myeloid",513
"SCP259_N50","SCP259","UC",1,"Fibroblast",545
"SCP259_N50","SCP259","UC",1,"Endothelial",161
"SCP259_N50","SCP259","UC",1,"Other epithelial",1588
"SCP259_N50","SCP259","UC",1,"T/NK",2532
"SCP259_N50","SCP259","UC",1,"GART-undetected ISC-like",430
"SCP259_N50","SCP259","UC",1,"GART-detected ISC-like",184
"SCP259_N50","SCP259","UC",2,"Myeloid",513
"SCP259_N50","SCP259","UC",2,"Fibroblast",545
"SCP259_N50","SCP259","UC",2,"Endothelial",161
"SCP259_N50","SCP259","UC",2,"Other epithelial",1588
"SCP259_N50","SCP259","UC",2,"T/NK",2532
"SCP259_N50","SCP259","UC",2,"GART-undetected ISC-like",430
"SCP259_N50","SCP259","UC",2,"GART-detected ISC-like",56
"SCP259_N51","SCP259","Healthy",1,"Myeloid",846
"SCP259_N51","SCP259","Healthy",1,"Fibroblast",571
"SCP259_N51","SCP259","Healthy",1,"Endothelial",57
"SCP259_N51","SCP259","Healthy",1,"Other epithelial",11190
"SCP259_N51","SCP259","Healthy",1,"T/NK",4983
"SCP259_N51","SCP259","Healthy",1,"GART-undetected ISC-like",18
"SCP259_N51","SCP259","Healthy",1,"GART-detected ISC-like",2
"SCP259_N51","SCP259","Healthy",2,"Myeloid",846
"SCP259_N51","SCP259","Healthy",2,"Fibroblast",571
"SCP259_N51","SCP259","Healthy",2,"Endothelial",57
"SCP259_N51","SCP259","Healthy",2,"Other epithelial",11190
"SCP259_N51","SCP259","Healthy",2,"T/NK",4983
"SCP259_N51","SCP259","Healthy",2,"GART-undetected ISC-like",18
"SCP259_N51","SCP259","Healthy",2,"GART-detected ISC-like",1
"SCP259_N52","SCP259","UC",1,"Myeloid",871
"SCP259_N52","SCP259","UC",1,"Fibroblast",2750
"SCP259_N52","SCP259","UC",1,"Endothelial",426
"SCP259_N52","SCP259","UC",1,"Other epithelial",10879
"SCP259_N52","SCP259","UC",1,"T/NK",7983
"SCP259_N52","SCP259","UC",1,"GART-undetected ISC-like",115
"SCP259_N52","SCP259","UC",1,"GART-detected ISC-like",13
"SCP259_N52","SCP259","UC",2,"Myeloid",871
"SCP259_N52","SCP259","UC",2,"Fibroblast",2750
"SCP259_N52","SCP259","UC",2,"Endothelial",426
"SCP259_N52","SCP259","UC",2,"Other epithelial",10879
"SCP259_N52","SCP259","UC",2,"T/NK",7983
"SCP259_N52","SCP259","UC",2,"GART-undetected ISC-like",115
"SCP259_N52","SCP259","UC",2,"GART-detected ISC-like",0
"SCP259_N539","SCP259","UC",1,"Myeloid",569
"SCP259_N539","SCP259","UC",1,"Fibroblast",1308
"SCP259_N539","SCP259","UC",1,"Endothelial",316
"SCP259_N539","SCP259","UC",1,"Other epithelial",1119
"SCP259_N539","SCP259","UC",1,"T/NK",1897
"SCP259_N539","SCP259","UC",1,"GART-undetected ISC-like",174
"SCP259_N539","SCP259","UC",1,"GART-detected ISC-like",106
"SCP259_N539","SCP259","UC",2,"Myeloid",569
"SCP259_N539","SCP259","UC",2,"Fibroblast",1308
"SCP259_N539","SCP259","UC",2,"Endothelial",316
"SCP259_N539","SCP259","UC",2,"Other epithelial",1119
"SCP259_N539","SCP259","UC",2,"T/NK",1897
"SCP259_N539","SCP259","UC",2,"GART-undetected ISC-like",174
"SCP259_N539","SCP259","UC",2,"GART-detected ISC-like",28
"SCP259_N58","SCP259","UC",1,"Myeloid",725
"SCP259_N58","SCP259","UC",1,"Fibroblast",1865
"SCP259_N58","SCP259","UC",1,"Endothelial",579
"SCP259_N58","SCP259","UC",1,"Other epithelial",6927
"SCP259_N58","SCP259","UC",1,"T/NK",3988
"SCP259_N58","SCP259","UC",1,"GART-undetected ISC-like",227
"SCP259_N58","SCP259","UC",1,"GART-detected ISC-like",174
"SCP259_N58","SCP259","UC",2,"Myeloid",725
"SCP259_N58","SCP259","UC",2,"Fibroblast",1865
"SCP259_N58","SCP259","UC",2,"Endothelial",579
"SCP259_N58","SCP259","UC",2,"Other epithelial",6927
"SCP259_N58","SCP259","UC",2,"T/NK",3988
"SCP259_N58","SCP259","UC",2,"GART-undetected ISC-like",227
"SCP259_N58","SCP259","UC",2,"GART-detected ISC-like",76
"SCP259_N661","SCP259","UC",1,"Myeloid",8554
"SCP259_N661","SCP259","UC",1,"Fibroblast",1789
"SCP259_N661","SCP259","UC",1,"Endothelial",834
"SCP259_N661","SCP259","UC",1,"Other epithelial",950
"SCP259_N661","SCP259","UC",1,"T/NK",18351
"SCP259_N661","SCP259","UC",1,"GART-undetected ISC-like",710
"SCP259_N661","SCP259","UC",1,"GART-detected ISC-like",236
"SCP259_N661","SCP259","UC",2,"Myeloid",8554
"SCP259_N661","SCP259","UC",2,"Fibroblast",1789
"SCP259_N661","SCP259","UC",2,"Endothelial",834
"SCP259_N661","SCP259","UC",2,"Other epithelial",950
"SCP259_N661","SCP259","UC",2,"T/NK",18351
"SCP259_N661","SCP259","UC",2,"GART-undetected ISC-like",710
"SCP259_N661","SCP259","UC",2,"GART-detected ISC-like",57
"SCP259_N7","SCP259","UC",1,"Myeloid",332
"SCP259_N7","SCP259","UC",1,"Fibroblast",887
"SCP259_N7","SCP259","UC",1,"Endothelial",111
"SCP259_N7","SCP259","UC",1,"Other epithelial",779
"SCP259_N7","SCP259","UC",1,"T/NK",628
"SCP259_N7","SCP259","UC",1,"GART-undetected ISC-like",19
"SCP259_N7","SCP259","UC",1,"GART-detected ISC-like",8
"SCP259_N7","SCP259","UC",2,"Myeloid",332
"SCP259_N7","SCP259","UC",2,"Fibroblast",887
"SCP259_N7","SCP259","UC",2,"Endothelial",111
"SCP259_N7","SCP259","UC",2,"Other epithelial",779
"SCP259_N7","SCP259","UC",2,"T/NK",628
"SCP259_N7","SCP259","UC",2,"GART-undetected ISC-like",19
"SCP259_N7","SCP259","UC",2,"GART-detected ISC-like",3
"SCP259_N8","SCP259","Healthy",1,"Myeloid",124
"SCP259_N8","SCP259","Healthy",1,"Fibroblast",385
"SCP259_N8","SCP259","Healthy",1,"Endothelial",76
"SCP259_N8","SCP259","Healthy",1,"Other epithelial",960
"SCP259_N8","SCP259","Healthy",1,"T/NK",221
"SCP259_N8","SCP259","Healthy",1,"GART-undetected ISC-like",0
"SCP259_N8","SCP259","Healthy",1,"GART-detected ISC-like",0
"SCP259_N8","SCP259","Healthy",2,"Myeloid",124
"SCP259_N8","SCP259","Healthy",2,"Fibroblast",385
"SCP259_N8","SCP259","Healthy",2,"Endothelial",76
"SCP259_N8","SCP259","Healthy",2,"Other epithelial",960
"SCP259_N8","SCP259","Healthy",2,"T/NK",221
"SCP259_N8","SCP259","Healthy",2,"GART-undetected ISC-like",0
"SCP259_N8","SCP259","Healthy",2,"GART-detected ISC-like",0
"SCP259_N9","SCP259","UC",1,"Myeloid",445
"SCP259_N9","SCP259","UC",1,"Fibroblast",488
"SCP259_N9","SCP259","UC",1,"Endothelial",201
"SCP259_N9","SCP259","UC",1,"Other epithelial",5409
"SCP259_N9","SCP259","UC",1,"T/NK",2775
"SCP259_N9","SCP259","UC",1,"GART-undetected ISC-like",379
"SCP259_N9","SCP259","UC",1,"GART-detected ISC-like",125
"SCP259_N9","SCP259","UC",2,"Myeloid",445
"SCP259_N9","SCP259","UC",2,"Fibroblast",488
"SCP259_N9","SCP259","UC",2,"Endothelial",201
"SCP259_N9","SCP259","UC",2,"Other epithelial",5409
"SCP259_N9","SCP259","UC",2,"T/NK",2775
"SCP259_N9","SCP259","UC",2,"GART-undetected ISC-like",379
"SCP259_N9","SCP259","UC",2,"GART-detected ISC-like",46
