"donor_id","cohort","condition","gart_threshold","group","n_cells"
"GSE214695_HC6","GSE214695","Healthy",2,"Endothelial",14
"GSE214695_HC6","GSE214695","Healthy",2,"Other epithelial",1068
"GSE214695_HC6","GSE214695","Healthy",2,"T/NK",213
"GSE214695_HC6","GSE214695","Healthy",2,"GART-undetected ISC-like",0
"GSE214695_HC6","GSE214695","Healthy",2,"GART-detected ISC-like",1
"GSE214695_UC1","GSE214695","UC",1,"Myeloid",0
"GSE214695_UC1","GSE214695","UC",1,"Fibroblast",206
"GSE214695_UC1","GSE214695","UC",1,"Endothelial",20
"GSE214695_UC1","GSE214695","UC",1,"Other epithelial",36
"GSE214695_UC1","GSE214695","UC",1,"T/NK",375
"GSE214695_UC1","GSE214695","UC",1,"GART-undetected ISC-like",1
"GSE214695_UC1","GSE214695","UC",1,"GART-detected ISC-like",0
"GSE214695_UC1","GSE214695","UC",2,"Myeloid",0
"GSE214695_UC1","GSE214695","UC",2,"Fibroblast",206
"GSE214695_UC1","GSE214695","UC",2,"Endothelial",20
"GSE214695_UC1","GSE214695","UC",2,"Other epithelial",36
"GSE214695_UC1","GSE214695","UC",2,"T/NK",375
"GSE214695_UC1","GSE214695","UC",2,"GART-undetected ISC-like",1
"GSE214695_UC1","GSE214695","UC",2,"GART-detected ISC-like",0
"GSE214695_UC2","GSE214695","UC",1,"Myeloid",1
"GSE214695_UC2","GSE214695","UC",1,"Fibroblast",47
"GSE214695_UC2","GSE214695","UC",1,"Endothelial",8
"GSE214695_UC2","GSE214695","UC",1,"Other epithelial",303
"GSE214695_UC2","GSE214695","UC",1,"T/NK",532
"GSE214695_UC2","GSE214695","UC",1,"GART-undetected ISC-like",12
"GSE214695_UC2","GSE214695","UC",1,"GART-detected ISC-like",5
"GSE214695_UC2","GSE214695","UC",2,"Myeloid",1
"GSE214695_UC2","GSE214695","UC",2,"Fibroblast",47
"GSE214695_UC2","GSE214695","UC",2,"Endothelial",8
"GSE214695_UC2","GSE214695","UC",2,"Other epithelial",303
"GSE214695_UC2","GSE214695","UC",2,"T/NK",532
"GSE214695_UC2","GSE214695","UC",2,"GART-undetected ISC-like",12
"GSE214695_UC2","GSE214695","UC",2,"GART-detected ISC-like",4
"GSE214695_UC3","GSE214695","UC",1,"Myeloid",0
"GSE214695_UC3","GSE214695","UC",1,"Fibroblast",104
"GSE214695_UC3","GSE214695","UC",1,"Endothelial",49
"GSE214695_UC3","GSE214695","UC",1,"Other epithelial",85
"GSE214695_UC3","GSE214695","UC",1,"T/NK",366
"GSE214695_UC3","GSE214695","UC",1,"GART-undetected ISC-like",8
"GSE214695_UC3","GSE214695","UC",1,"GART-detected ISC-like",6
"GSE214695_UC3","GSE214695","UC",2,"Myeloid",0
"GSE214695_UC3","GSE214695","UC",2,"Fibroblast",104
"GSE214695_UC3","GSE214695","UC",2,"Endothelial",49
"GSE214695_UC3","GSE214695","UC",2,"Other epithelial",85
"GSE214695_UC3","GSE214695","UC",2,"T/NK",366
"GSE214695_UC3","GSE214695","UC",2,"GART-undetected ISC-like",8
"GSE214695_UC3","GSE214695","UC",2,"GART-detected ISC-like",2
"GSE214695_UC4","GSE214695","UC",1,"Myeloid",9
"GSE214695_UC4","GSE214695","UC",1,"Fibroblast",15
"GSE214695_UC4","GSE214695","UC",1,"Endothelial",25
"GSE214695_UC4","GSE214695","UC",1,"Other epithelial",205
"GSE214695_UC4","GSE214695","UC",1,"T/NK",1328
"GSE214695_UC4","GSE214695","UC",1,"GART-undetected ISC-like",2
"GSE214695_UC4","GSE214695","UC",1,"GART-detected ISC-like",1
"GSE214695_UC4","GSE214695","UC",2,"Myeloid",9
"GSE214695_UC4","GSE214695","UC",2,"Fibroblast",15
"GSE214695_UC4","GSE214695","UC",2,"Endothelial",25
"GSE214695_UC4","GSE214695","UC",2,"Other epithelial",205
"GSE214695_UC4","GSE214695","UC",2,"T/NK",1328
"GSE214695_UC4","GSE214695","UC",2,"GART-undetected ISC-like",2
"GSE214695_UC4","GSE214695","UC",2,"GART-detected ISC-like",1
"GSE214695_UC5","GSE214695","UC",1,"Myeloid",0
"GSE214695_UC5","GSE214695","UC",1,"Fibroblast",167
"GSE214695_UC5","GSE214695","UC",1,"Endothelial",37
"GSE214695_UC5","GSE214695","UC",1,"Other epithelial",68
"GSE214695_UC5","GSE214695","UC",1,"T/NK",638
"GSE214695_UC5","GSE214695","UC",1,"GART-undetected ISC-like",2
"GSE214695_UC5","GSE214695","UC",1,"GART-detected ISC-like",1
"GSE214695_UC5","GSE214695","UC",2,"Myeloid",0
"GSE214695_UC5","GSE214695","UC",2,"Fibroblast",167
"GSE214695_UC5","GSE214695","UC",2,"Endothelial",37
"GSE214695_UC5","GSE214695","UC",2,"Other epithelial",68
"GSE214695_UC5","GSE214695","UC",2,"T/NK",638
"GSE214695_UC5","GSE214695","UC",2,"GART-undetected ISC-like",2
"GSE214695_UC5","GSE214695","UC",2,"GART-detected ISC-like",0
"GSE214695_UC6","GSE214695","UC",1,"Myeloid",0
"GSE214695_UC6","GSE214695","UC",1,"Fibroblast",110
"GSE214695_UC6","GSE214695","UC",1,"Endothelial",20
"GSE214695_UC6","GSE214695","UC",1,"Other epithelial",329
"GSE214695_UC6","GSE214695","UC",1,"T/NK",1037
"GSE214695_UC6","GSE214695","UC",1,"GART-undetected ISC-like",55
"GSE214695_UC6","GSE214695","UC",1,"GART-detected ISC-like",35
"GSE214695_UC6","GSE214695","UC",2,"Myeloid",0
"GSE214695_UC6","GSE214695","UC",2,"Fibroblast",110
"GSE214695_UC6","GSE214695","UC",2,"Endothelial",20
"GSE214695_UC6","GSE214695","UC",2,"Other epithelial",329
"GSE214695_UC6","GSE214695","UC",2,"T/NK",1037
"GSE214695_UC6","GSE214695","UC",2,"GART-undetected ISC-like",55
"GSE214695_UC6","GSE214695","UC",2,"GART-detected ISC-like",19
"SCP259_N10","SCP259","Healthy",1,"Myeloid",544
"SCP259_N10","SCP259","Healthy",1,"Fibroblast",1669
"SCP259_N10","SCP259","Healthy",1,"Endothelial",212
