"TF","n_paths","mean_score","max_score","mean_pred_label","tf_mean","tf_pct","core_targets_hit"
"TCOF1",715,0.0239974767451737,0.199048966729661,0.966915931314685,0.238054731610038,47.6422764227642,"IMPDH2, PCNA, CDK4, MCM7, FEN1, MCM6, BRCA1"
"CHD4",671,0.0352847389587969,0.31059106979612,0.940179248181818,0.327815305909151,60.1626016260163,"RAN, MCM7, PAICS, TK1, TYMS"
"EGFR",633,0.0132899270838919,0.12321471496605,0.920868766398104,0.103071076863293,26.5040650406504,"RAN, IMPDH2, CDK4, PAICS, TYMS, MKI67"
"NFKB1",628,0.0286472379470272,0.299132637857033,0.830271813503185,0.212092349551269,45.8536585365854,"IMPDH2, CDK4, TK1, GINS2, MCM7"
"UHRF1",550,0.00950642842541791,0.0611156141107397,0.983855157927273,0.12148483662946,26.9593495934959,"MCM7, TK1, TYMS, GINS2, FEN1, MKI67, BRCA1"
"MCM3",495,0.0314562459334819,0.368332931564552,0.978699260969697,0.377004974926823,58.0162601626016,"RAN, PCNA, MCM7, TK1, TYMS, FEN1, MKI67, MCM6"
"TRIP13",495,0.00685497751405462,0.0753927709043115,0.962597850141414,0.0717360987432636,18.3089430894309,"RAN, PCNA, MCM7, TK1, TYMS, FEN1, MKI67, MCM6"
"MCM2",484,0.0138084020129324,0.119353977512512,0.983997495,0.141625187493304,31.1219512195122,"PCNA, CDK4, MCM7, TK1, TYMS, GINS2, ASCL2, FEN1, MKI67, MCM6"
"CEBPZ",439,0.0222489593200095,0.173075998323405,0.859896790296128,0.256143265894222,52.8130081300813,"MCM7, GINS2, MCM6"
"HMGB2",418,0.0616347428594821,0.424828790945688,0.978202935837321,0.971934589011022,79.479674796748,"PCNA, CDK4, MCM7, TYMS, MKI67, MCM6"
"GATA6",411,0.0239798936770281,0.253451785604387,0.842605515328467,0.196813992256445,43.4471544715447,"CDK4, GINS2, ASCL2, MCM6"
"CBX5",409,0.0284701120605814,0.27960159714926,0.938018886381418,0.308642485817404,57.2682926829268,"RAN, CDK4, MCM7, TK1, GINS2, FEN1, MCM6, BRCA1"
"MCM7",407,0.0421991903737717,0.287097685831361,0.979417384963145,0.580899838686852,67.349593495935,"PCNA, TK1, TYMS, FEN1, MKI67, MCM6"
"EED",374,0.0113172229104146,0.0672487684209386,0.936659430534759,0.128445140623976,31.5447154471545,"ASCL2, BRCA1"
"PCBP1",371,0.0874955640002511,0.684605575485045,0.880841015013477,1.02720366079435,93.9512195121951,"RAN, PCNA, CDK4, MCM7, TYMS, GINS2, MKI67"
"HMGA1",364,0.0781892310266625,0.808615276415499,0.941099133461539,1.17061607664057,92.520325203252,"PCNA, MCM6, BRCA1"
"DNMT1",363,0.0352276471403093,0.261105729825512,0.974783577768595,0.335810189349186,56.0325203252033,"PCNA, CDK4, MCM7, PAICS, FEN1, MCM6, BRCA1"
"RUVBL1",352,0.0314829915748477,0.275921605871903,0.846424953551136,0.281246567014948,53.8211382113821,"RAN, IMPDH2, PCNA, CDK4, PAICS, MCM7, TK1, GINS2"
"SRC",352,0.0119583162601447,0.0854201005708642,0.940580274005682,0.0976830713913821,25.7235772357724,"CDK4, PAICS, GINS2, ASCL2, MKI67"
"HIF1A",350,0.0436732878716611,0.457844923853851,0.799748586742857,0.405040270698527,66.0162601626016,""
"XRN2",348,0.0318766398288577,0.215502621320398,0.81512549545977,0.366621965907317,64.1626016260163,"RAN, CDK4, IMPDH2, MCM7, TK1, BRCA1"
"PIK3CA",344,0.00578033872801282,0.0455432189535199,0.836462297296512,0.0446159410697076,12.8130081300813,"RAN, CDK4, PAICS, MCM7, GINS2, MCM6"
"MCM6",341,0.0192247768248895,0.127326765794014,0.983175559765396,0.226171701643235,42.0813008130081,"PCNA, MCM7, TK1, TYMS, FEN1, MKI67"
"CDK4",337,0.0538473217242373,0.432348115238381,0.956340414094956,0.619990138846123,74.7642276422764,"IMPDH2, MCM7, FEN1"
"MCM4",330,0.0170256642432309,0.113954966596966,0.985206797151515,0.199277912158464,40.0975609756098,"PCNA, MCM7, TK1, TYMS, FEN1, MKI67, MCM6"
"PARK7",295,0.0920045354998183,0.87265419970655,0.949375129491525,1.57604545859656,97.8861788617886,"GINS2, MKI67"
"SRSF3",286,0.105702852494707,1.00346921072918,0.959519538496504,1.37126120898946,97.3658536585366,"RAN, PAICS, GINS2, FEN1, BRCA1"
"RUVBL2",277,0.0630158596308123,0.396142770764039,0.927076785776173,0.557855657432312,76.520325203252,"IMPDH2, CDK4, MCM7, PAICS, GINS2, FEN1"
"PARP1",275,0.0431575571860028,0.425497380685125,0.9446858908,0.487563707356121,71.609756097561,"PCNA, MKI67, BRCA1"
"RAD51",264,0.0115180273908401,0.0676236629842806,0.954083000606061,0.113194668473702,25.6585365853659,"CDK4, MCM7, TK1, BRCA1"
"MTOR",259,0.0102639144471923,0.114108580795087,0.870988395135135,0.0902230489898275,24.5853658536585,"PCNA, MCM6"
"SNRNP70",253,0.0686938416182982,0.437080510278451,0.94451801173913,0.628383419697146,81.2357723577236,"IMPDH2, MCM7, TK1, TYMS"
"ASF1B",253,0.0144551084221984,0.0727317821623985,0.984712971620553,0.1996799838609,37.1707317073171,"TYMS, MKI67"
"PHB2",242,0.0867758323306765,0.756074806059179,0.977047311157025,0.917856259144093,90.9593495934959,"RAN, IMPDH2, PAICS, BRCA1"
"FUS",220,0.08721829295159,0.588996984409363,0.963928584090909,0.919280925765364,91.4146341463415,"MCM7, TYMS"
"U2AF1",209,0.10035551149453,0.686382083665235,0.918578721674641,1.26273665162921,94.8617886178862,"CDK4, MCM7"
"SFPQ",209,0.0820688371693091,0.68372069471579,0.956577610669856,0.826124092603662,89.4308943089431,"FEN1"
"DEK",209,0.0731019476181491,0.428565160051313,0.966846573444976,0.997498350315569,90.6991869918699,"PCNA, FEN1, MKI67"
"TTF2",206,0.00839282608192873,0.0591259133477915,0.862517170582524,0.0987923258384525,25.8861788617886,"IMPDH2, FEN1"
"ELF3",205,0.122478567056295,1.06160284970478,0.822821750829268,1.4237816797891,97.5284552845528,""
"UBB",202,0.186185040699057,1.73894344468749,0.927057979405941,2.16247889893094,99.5121951219512,"MCM7"
"U2AF2",198,0.0249275074261225,0.172235764783651,0.918648277575758,0.253560300641119,52.4552845528455,"CDK4, TK1, FEN1, BRCA1"
"MLXIP",197,0.0712523765906245,0.490510604031417,0.850916499390863,0.857885850247838,88.1951219512195,"MCM7, TYMS, GINS2, MKI67, MCM6"
"HNRNPC",187,0.0981841141047717,0.917250399020358,0.95088694828877,1.19086922428226,96.390243902439,"RAN"
"CHEK1",187,0.0156848765554731,0.159238055725419,0.94998161171123,0.137732475071768,31.5121951219512,"BRCA1"
"ILF3",186,0.0493375461194297,0.33610727620613,0.884460834086021,0.5416155383689,77.2357723577236,"IMPDH2, MKI67"
"RPA2",183,0.0238602328759289,0.151251286981626,0.869022844426229,0.204542688778304,42.8617886178862,"IMPDH2, CDK4, TYMS, FEN1"
"HNRNPK",179,0.0987014189690043,1.19208452507877,0.836370787988827,1.33414240638396,97.8211382113821,"CDK4"
"PSIP1",169,0.028691119346939,0.180684052475179,0.920899517573964,0.285621388055516,51.1869918699187,""
"SSRP1",163,0.0526386512794434,0.500263205475092,0.919047107852761,0.587091841009554,78.4715447154472,"RAN, IMPDH2, ASCL2, FEN1, BRCA1"
"PLK1",156,0.012244025301928,0.0851511617078354,0.933776970064103,0.122126314437578,22.2439024390244,"PAICS, MKI67"
"ERBB3",155,0.0607859690166218,0.491338017992159,0.806814628709677,0.429791736239691,69.0081300813008,""
"PRKDC",154,0.0237818819324371,0.142592464528755,0.842764037532468,0.372300627995636,62.2113821138211,"MCM6, BRCA1"
"XRCC5",143,0.0702494531596833,0.344503405711182,0.964330397692308,0.748100947579145,86.5365853658537,"PCNA, FEN1"
"MCM5",143,0.0203823584817693,0.126256535536433,0.929647768741259,0.278240655710029,47.1219512195122,"MCM7, MCM6"
"CDK2",143,0.0111714633162453,0.100974369483734,0.855978526993007,0.0799603757499007,20.5853658536585,"CDK4, PAICS, ASCL2"
