source,ligand_complex,receptor_complex,detected_score,undetected_score,difference,method,donor_id,gart_threshold,expression_threshold,resource,n_Myeloid,n_Fibroblast,n_Endothelial,n_Other epithelial,n_T/NK,n_GART-undetected ISC-like,n_GART-detected ISC-like,sender_cells,paired_P,BH_FDR,positive_donor_n,paired_donor_n
T/NK,MIF,CD74_FAMILY,5.27299678195814,5.16321734571918,0.10977943623896,LIANA consensus,SCP259_N50,1,0.1,consensus,513,545,161,1588,2532,430,184,2532,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,1.78627457640946,1.56501314957516,0.221261426834296,LIANA consensus,SCP259_N539,1,0.1,consensus,569,1308,316,1119,1897,174,106,316,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,1.92879762755235,1.68037310396558,0.248424523586767,LIANA consensus,SCP259_N539,1,0.1,consensus,569,1308,316,1119,1897,174,106,1308,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,1.66415751136897,1.45459604326239,0.20956146810658,LIANA consensus,SCP259_N539,1,0.1,consensus,569,1308,316,1119,1897,174,106,569,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,1.71850715234867,1.507974439601,0.210532712747673,LIANA consensus,SCP259_N539,1,0.1,consensus,569,1308,316,1119,1897,174,106,1897,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,2.55400100906427,2.18583252485815,0.368168484206119,LIANA consensus,SCP259_N58,1,0.1,consensus,725,1865,579,6927,3988,227,174,579,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,2.53093799330212,2.17221188653997,0.358726106762145,LIANA consensus,SCP259_N58,1,0.1,consensus,725,1865,579,6927,3988,227,174,1865,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,2.49359177833581,2.13676564758581,0.356826130750001,LIANA consensus,SCP259_N58,1,0.1,consensus,725,1865,579,6927,3988,227,174,725,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,2.58470615305551,2.21425136243746,0.370454790618041,LIANA consensus,SCP259_N58,1,0.1,consensus,725,1865,579,6927,3988,227,174,3988,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,2.49995384375215,2.31842902669923,0.181524817052913,LIANA consensus,SCP259_N661,1,0.1,consensus,8554,1789,834,950,18351,710,236,834,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,2.5613866800362,2.38561856896201,0.175768111074184,LIANA consensus,SCP259_N661,1,0.1,consensus,8554,1789,834,950,18351,710,236,1789,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,1.94377222332528,1.78184155768094,0.161930665644343,LIANA consensus,SCP259_N661,1,0.1,consensus,8554,1789,834,950,18351,710,236,8554,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,2.32298457199775,2.09730181243516,0.225682759562587,LIANA consensus,SCP259_N661,1,0.1,consensus,8554,1789,834,950,18351,710,236,18351,0.0009765625,0.0101961525537634,11,11
Endothelial,MIF,CD74_FAMILY,7.04734478188568,6.85387179034693,0.193472991538756,LIANA consensus,SCP259_N9,1,0.1,consensus,445,488,201,5409,2775,379,125,201,0.0009765625,0.0101961525537634,11,11
Fibroblast,MIF,CD74_FAMILY,7.53786925682455,7.42482454692692,0.113044709897632,LIANA consensus,SCP259_N9,1,0.1,consensus,445,488,201,5409,2775,379,125,488,0.0009765625,0.0101961525537634,11,11
Myeloid,MIF,CD74_FAMILY,6.17708851843959,6.04541953296369,0.131668985475901,LIANA consensus,SCP259_N9,1,0.1,consensus,445,488,201,5409,2775,379,125,445,0.0009765625,0.0101961525537634,11,11
T/NK,MIF,CD74_FAMILY,6.65643836791874,6.47085498965966,0.185583378259086,LIANA consensus,SCP259_N9,1,0.1,consensus,445,488,201,5409,2775,379,125,2775,0.0009765625,0.0101961525537634,11,11
