gene,model,estimate,SE,CI_low,CI_high,P,FDR,n_cells,n_donors,random_effect_variance,isSingular,warning,adjusted_estimate,adjusted_P,adjusted_FDR,adjusted_direction,adjusted_persistence,display_order,emphasis,fdr_label,point_size
MYBL2,Model 1: frozen SCP259 donor-paired pseudobulk,0.526792704014918,0.114443265758119,0.302483903129004,0.751101504900831,4.16267327732355e-06,0.000239919410070971,,11,,,frozen result; not refit,-0.0171884399464472,0.00149480114961465,0.00401020321557123,negative,"",1,FALSE,FDR 2.4e-04,3.61993461511797
MKI67,Model 1: frozen SCP259 donor-paired pseudobulk,0.277533870364795,0.0766472483290702,0.127305263639817,0.427762477089773,0.000293552605902669,0.00392766397350012,,11,,,frozen result; not refit,-0.0182667238183845,0.00379522525396381,0.00569283788094571,negative,"",2,FALSE,FDR 0.004,3.2
PCNA,Model 1: frozen SCP259 donor-paired pseudobulk,0.609294621200973,0.104603487481759,0.404271785736726,0.81431745666522,5.71802912327702e-09,5.50892830074415e-06,,11,,,frozen result; not refit,0.00843049026415004,0.354396012780841,0.425275215337009,positive,"",3,FALSE,FDR 5.5e-06,5.25893287997625
PAICS,Model 1: frozen SCP259 donor-paired pseudobulk,0.413703562278481,0.0880584445934266,0.241109010875365,0.586298113681597,2.62648574560911e-06,0.000170801311962887,,11,,,frozen result; not refit,0.0436712251714208,8.68188480462567e-06,5.2091308827754e-05,positive,Positive; BH FDR<0.05,4,TRUE,FDR 1.7e-04,3.76750879772164
MCM7,Model 1: frozen SCP259 donor-paired pseudobulk,0.646849347409136,0.111156640413057,0.428982332199543,0.864716362618729,5.91088683396412e-09,5.50892830074415e-06,,11,,,frozen result; not refit,0.02734024239992,0.00200510160778561,0.00401020321557123,positive,Positive; BH FDR<0.05,5,TRUE,FDR 5.5e-06,5.25893287997625
GINS2,Model 1: frozen SCP259 donor-paired pseudobulk,0.736198355865582,0.110778823712931,0.519071861388237,0.953324850342928,3.01862118168926e-11,1.69631417305028e-07,,11,,,frozen result; not refit,0.00530484222207245,0.447706692291095,0.447706692291095,positive,"",6,FALSE,FDR 1.7e-07,6.77049370928095
