regulon,adjusted_effect,SE,CI_low,CI_high,nominal_P,BH_FDR,n_cells,n_donors,random_structure,isSingular,convergence_warning,direction,interpretation
MYBL2,-0.000666833313792161,0.000132329471032862,-0.00092619907701657,-0.000407467550567752,4.67506812939334e-07,2.33753406469667e-06,9302,29,donor/sample,FALSE,,reduced in GART-detected,proliferation-associated candidate; significant adjusted effect is negative
STAT3,0.000172904616608363,0.00020002200243522,-0.000219138508164669,0.000564947741381395,0.387352824887234,0.432871301540944,9302,29,donor/sample,FALSE,,not significant,secondary regulon
JUN,-0.000722824711702711,0.000538223393940359,-0.00177774256382581,0.000332093140420393,0.179277572774532,0.298795954624221,9302,29,donor/sample,FALSE,,not significant,secondary regulon
FOS,-0.000591717926666205,0.000384391123582815,-0.00134512452888852,0.000161688675556113,0.123715413721901,0.298795954624221,9302,29,donor/sample,FALSE,,not significant,secondary regulon
IRF1,0.000301786441009187,0.000384790469248706,-0.000452402878718277,0.00105597576073665,0.432871301540944,0.432871301540944,9302,29,donor/sample,FALSE,,not significant,secondary regulon
