gart_threshold,min_cells,expression_threshold,result_type,source,interaction_name,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,direction
1,20,0.1,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105174238160977,0.0104879556290688,0.00654338797983888,0.0136638770302702,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,20,0.1,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0110825333317635,0.0108015761614017,0.00701949390342435,0.0132610356965183,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,20,0.1,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00636431312918114,0.00651370348505799,0.00386162599767437,0.0101049412413823,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,20,0.1,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0140401118975707,0.0145274275292163,0.00820335222144434,0.0204484461680017,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,20,0.1,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00751153946676687,0.00777818846212773,0.00453623560806672,0.0106966596087672,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,20,0.2,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00970558737274412,0.00889375092939053,0.00493354411113067,0.0132454214850463,0.00390625,0.9,10,exact Wilcoxon signed-rank,,0.01025390625,positive
1,20,0.2,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0101958076715683,0.00953945573057204,0.00530161196632245,0.013382628578825,0.00390625,0.9,10,exact Wilcoxon signed-rank,,0.01025390625,positive
1,20,0.2,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0036573743291564,0.00468863704100316,0.00159667718803699,0.013241971796421,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,,0.0493951612903226,positive
1,20,0.2,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0110253794662811,0.0129894237283739,0.00638723072691414,0.0196230760047286,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.00775971283783784,positive
1,20,0.2,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00595176339437418,,,,,0.8,5,not estimable: <6 paired donors,,,not estimable
1,30,0.05,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105174238160977,0.0102732823431189,0.00419302503028723,0.0120067323615765,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,,0.012890625,positive
1,30,0.05,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0110825333317635,0.0106550575089465,0.00309573921999064,0.012715769498716,0.0029296875,0.909090909090909,11,exact Wilcoxon signed-rank,,0.012890625,positive
1,30,0.05,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00636431312918114,0.006159030345318,0.00269086071706332,0.00916246000444866,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0248661747685185,positive
1,30,0.05,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0140401118975707,0.0140198083374097,0.00568261589187045,0.0193028218384871,0.009765625,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0248661747685185,positive
1,30,0.05,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00701446766163318,0.00725186952467796,0.00275702114271982,0.0103774044049908,0.0048828125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0181455869932432,positive
1,30,0.1,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0105174238160977,0.0104879556290688,0.00654338797983888,0.0136638770302702,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,30,0.1,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0110825333317635,0.0108015761614017,0.00701949390342435,0.0132610356965183,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,30,0.1,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00636431312918114,0.00651370348505799,0.00386162599767437,0.0101049412413823,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,30,0.1,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0140401118975707,0.0145274275292163,0.00820335222144434,0.0204484461680017,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,30,0.1,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00751153946676687,0.00777818846212773,0.00453623560806672,0.0106966596087672,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.0082750822368421,positive
1,30,0.2,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00970558737274412,0.00889375092939053,0.00493354411113067,0.0132454214850463,0.00390625,0.9,10,exact Wilcoxon signed-rank,,0.01025390625,positive
1,30,0.2,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0101958076715683,0.00953945573057204,0.00530161196632245,0.013382628578825,0.00390625,0.9,10,exact Wilcoxon signed-rank,,0.01025390625,positive
1,30,0.2,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0036573743291564,0.00468863704100316,0.00159667718803699,0.013241971796421,0.03125,0.857142857142857,7,exact Wilcoxon signed-rank,,0.0493951612903226,positive
1,30,0.2,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0110253794662811,0.0129894237283739,0.00638723072691414,0.0196230760047286,0.001953125,0.909090909090909,11,exact Wilcoxon signed-rank,,0.00775971283783784,positive
1,30,0.2,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00595176339437418,,,,,0.8,5,not estimable: <6 paired donors,,,not estimable
2,10,0.05,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0153463551350374,0.0137792736154127,0.00535432521685581,0.0197401920033956,0.009765625,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0207950367647059,positive
2,10,0.05,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.016200470249439,0.0136413484052076,0.00515486732392862,0.0197392610504792,0.009765625,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0207950367647059,positive
2,10,0.05,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00979231050436637,0.00859894859141125,0.00267311564150131,0.0140319685728938,0.013671875,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0268979279891304,positive
