donor_id,source,interaction_name,cohort,condition,pathway_name,ligand,receptor,detected_score,undetected_score,difference,gart_threshold,min_cells,expression_threshold,result_type,sender,paired_P,BH_FDR,positive_donor_n,paired_donor_n
SCP259_N49,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.104025100105886,0.0989927088276004,0.00503239127828541,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N49,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.123835154374689,0.117883390980315,0.00595176339437418,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N50,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.148454205838742,0.144261180808455,0.00419302503028723,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N50,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.169974912362982,0.165245006567507,0.00472990579547562,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N50,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0934521916258143,0.0907119980754848,0.00274019355032946,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N50,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0780258009015949,0.0757141561096572,0.00231164479193767,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N539,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0431996813788908,0.0320298601077621,0.0111698212711287,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N539,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0560556797818481,0.0417066741161796,0.0143490056656685,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
SCP259_N539,Myeloid,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0298468351296388,0.0220499944473378,0.00779684068230099,1,20,0.1,interaction_family,Myeloid,0.001953125,0.0082750822368421,10,11
SCP259_N539,T/NK,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0362019989845568,0.02679085422972,0.00941114475483682,1,20,0.1,interaction_family,T/NK,0.001953125,0.0082750822368421,10,11
SCP259_N58,Endothelial,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.0512893897639967,0.0408112568639375,0.0104781329000592,1,20,0.1,interaction_family,Endothelial,0.001953125,0.0082750822368421,10,11
SCP259_N58,Fibroblast,MIF_CD74_FAMILY,SCP259,UC,MIF,MIF,CD74-containing receptor complex family,0.049260060241209,0.0391793867654387,0.0100806734757703,1,20,0.1,interaction_family,Fibroblast,0.001953125,0.0082750822368421,10,11
