gart_threshold,min_cells,expression_threshold,source,interaction_name,omitted_donor,median_difference,positive_direction,n
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.0116640353776646,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0159481710933775,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0159481710933775,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0159481710933775,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.0159481710933775,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.0116640353776646,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0116640353776646,TRUE,9
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0100806734757703,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0100806734757703,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0100806734757703,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0100806734757703,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N52,0.0100806734757703,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.00842926342920694,TRUE,11
1,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0100806734757703,TRUE,11
2,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0160743206714083,TRUE,10
2,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.0138061032355211,TRUE,10
2,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.0138061032355211,TRUE,10
2,10,0.1,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.0138061032355211,TRUE,10
