gart_threshold,min_cells,expression_threshold,source,interaction_name,omitted_donor,median_difference,positive_direction,n
1,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0104977783580785,TRUE,10
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0126658185685828,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0121230916362991,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0121230916362991,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0121230916362991,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0126658185685828,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0126658185685828,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0126658185685828,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0126658185685828,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0121230916362991,TRUE,9
2,30,0.05,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0121230916362991,TRUE,9
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0104781329000592,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0104781329000592,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0104781329000592,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0104781329000592,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N52,0.0104781329000592,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N539,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0090012487905426,TRUE,11
1,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0104781329000592,TRUE,11
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0140060868518101,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.012394455102441,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.012394455102441,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.012394455102441,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0140060868518101,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0140060868518101,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0140060868518101,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N539,0.012394455102441,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0140060868518101,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.012394455102441,TRUE,10
2,10,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0137347233856683,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0104977783580785,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00787699748370669,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00787699748370669,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00787699748370669,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0104977783580785,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0104977783580785,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0104977783580785,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N539,0.00787699748370669,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.00789664294172594,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00787699748370669,TRUE,10
1,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0104977783580785,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0140060868518101,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.012394455102441,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.012394455102441,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.012394455102441,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0140060868518101,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0140060868518101,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0140060868518101,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N539,0.012394455102441,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0140060868518101,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.012394455102441,TRUE,10
2,20,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0137347233856683,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0104977783580785,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00787699748370669,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00787699748370669,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00787699748370669,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0104977783580785,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0104977783580785,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0104977783580785,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N539,0.00787699748370669,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.00789664294172594,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00787699748370669,TRUE,10
1,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0104977783580785,TRUE,10
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0126658185685828,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0121230916362991,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0121230916362991,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0121230916362991,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0126658185685828,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0126658185685828,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0126658185685828,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N58,0.0126658185685828,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0121230916362991,TRUE,9
2,30,0.1,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0121230916362991,TRUE,9
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.00975933630332016,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00713855542894838,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00713855542894838,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00713855542894838,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.00975933630332016,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.00975933630332016,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.00975933630332016,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N52,0.00789664294172594,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N539,0.00713855542894838,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00713855542894838,TRUE,10
1,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.00975933630332016,TRUE,10
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0153463551350374,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0126658185685828,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0126658185685828,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0126658185685828,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0153463551350374,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0153463551350374,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0153463551350374,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N539,0.0126658185685828,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0126658185685828,TRUE,9
2,10,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0153463551350374,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0105174238160977,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00527586206735416,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00527586206735416,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00527586206735416,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0105174238160977,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0105174238160977,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0105174238160977,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N539,0.00527586206735416,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00527586206735416,TRUE,9
1,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0105174238160977,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0153463551350374,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.0126658185685828,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.0126658185685828,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.0126658185685828,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0153463551350374,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0153463551350374,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0153463551350374,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N539,0.0126658185685828,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.0126658185685828,TRUE,9
2,20,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0153463551350374,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0105174238160977,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00527586206735416,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00527586206735416,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00527586206735416,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0105174238160977,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0105174238160977,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0105174238160977,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N539,0.00527586206735416,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00527586206735416,TRUE,9
1,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0105174238160977,TRUE,9
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N106,0.0140226828297209,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N111,0.00959866748049316,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N23,0.00959866748049316,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N24,0.00959866748049316,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N44,0.0140226828297209,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N49,0.0140226828297209,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N50,0.0140226828297209,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N661,0.00959866748049316,TRUE,8
2,30,0.2,Endothelial,MIF_CD74_CD44,SCP259_N9,0.0109555317416313,TRUE,8
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0100806734757703,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0100806734757703,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0100806734757703,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0100806734757703,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N52,0.0100806734757703,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.00842926342920694,TRUE,11
1,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0100806734757703,TRUE,11
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0160743206714083,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.0138061032355211,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.0138061032355211,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.0138061032355211,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0160743206714083,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0160743206714083,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0160743206714083,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.0138061032355211,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.0160743206714083,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.0138061032355211,TRUE,10
2,10,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0139322528135518,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0105816034037669,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.00815447844136012,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.00815447844136012,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.00815447844136012,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0105816034037669,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0105816034037669,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0105816034037669,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.00815447844136012,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.00865540836935674,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.00815447844136012,TRUE,10
1,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0105816034037669,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0160743206714083,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.0138061032355211,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.0138061032355211,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.0138061032355211,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0160743206714083,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0160743206714083,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0160743206714083,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.0138061032355211,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.0160743206714083,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.0138061032355211,TRUE,10
2,20,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0139322528135518,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0105816034037669,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.00815447844136012,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.00815447844136012,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N24,0.00815447844136012,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N44,0.0105816034037669,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N49,0.0105816034037669,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N50,0.0105816034037669,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N539,0.00815447844136012,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N58,0.00865540836935674,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N661,0.00815447844136012,TRUE,10
1,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N9,0.0105816034037669,TRUE,10
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N106,0.0159481710933775,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N111,0.0116640353776646,TRUE,9
2,30,0.05,Fibroblast,MIF_CD74_CD44,SCP259_N23,0.0116640353776646,TRUE,9
