method,source,omitted_donor,median_difference,positive_direction,n
Connectome,Fibroblast,SCP259_N58,0.0912392537703238,TRUE,10
Connectome,Fibroblast,SCP259_N661,0.110028049684146,TRUE,10
Connectome,Fibroblast,SCP259_N9,0.109501233438307,TRUE,10
Connectome,Myeloid,SCP259_N106,0.110028049684146,TRUE,10
Connectome,Myeloid,SCP259_N111,0.0912392537703238,TRUE,10
Connectome,Myeloid,SCP259_N23,0.0912392537703238,TRUE,10
Connectome,Myeloid,SCP259_N24,0.0912392537703238,TRUE,10
Connectome,Myeloid,SCP259_N44,0.110028049684146,TRUE,10
Connectome,Myeloid,SCP259_N49,0.110028049684146,TRUE,10
Connectome,Myeloid,SCP259_N50,0.110028049684146,TRUE,10
Connectome,Myeloid,SCP259_N539,0.0912392537703238,TRUE,10
Connectome,Myeloid,SCP259_N58,0.0912392537703238,TRUE,10
Connectome,Myeloid,SCP259_N661,0.110028049684146,TRUE,10
Connectome,Myeloid,SCP259_N9,0.109501233438307,TRUE,10
Connectome,Other epithelial,SCP259_N106,0.110028049684146,TRUE,10
Connectome,Other epithelial,SCP259_N111,0.0912392537703237,TRUE,10
Connectome,Other epithelial,SCP259_N23,0.0912392537703237,TRUE,10
Connectome,Other epithelial,SCP259_N24,0.0912392537703237,TRUE,10
Connectome,Other epithelial,SCP259_N44,0.110028049684146,TRUE,10
Connectome,Other epithelial,SCP259_N49,0.110028049684146,TRUE,10
Connectome,Other epithelial,SCP259_N50,0.110028049684146,TRUE,10
Connectome,Other epithelial,SCP259_N539,0.0912392537703237,TRUE,10
Connectome,Other epithelial,SCP259_N58,0.0912392537703237,TRUE,10
Connectome,Other epithelial,SCP259_N661,0.110028049684146,TRUE,10
Connectome,Other epithelial,SCP259_N9,0.109501233438307,TRUE,10
Connectome,T/NK,SCP259_N106,0.110028049684146,TRUE,10
Connectome,T/NK,SCP259_N111,0.0912392537703238,TRUE,10
Connectome,T/NK,SCP259_N23,0.0912392537703238,TRUE,10
Connectome,T/NK,SCP259_N24,0.0912392537703238,TRUE,10
Connectome,T/NK,SCP259_N44,0.110028049684146,TRUE,10
Connectome,T/NK,SCP259_N49,0.110028049684146,TRUE,10
Connectome,T/NK,SCP259_N50,0.110028049684146,TRUE,10
Connectome,T/NK,SCP259_N539,0.0912392537703238,TRUE,10
Connectome,T/NK,SCP259_N58,0.0912392537703238,TRUE,10
Connectome,T/NK,SCP259_N661,0.110028049684146,TRUE,10
Connectome,T/NK,SCP259_N9,0.109501233438307,TRUE,10
GeometricMean,Endothelial,SCP259_N106,0.164100527763367,TRUE,10
GeometricMean,Endothelial,SCP259_N111,0.137213110923767,TRUE,10
GeometricMean,Endothelial,SCP259_N23,0.137213110923767,TRUE,10
GeometricMean,Endothelial,SCP259_N24,0.137213110923767,TRUE,10
GeometricMean,Endothelial,SCP259_N44,0.164100527763367,TRUE,10
GeometricMean,Endothelial,SCP259_N49,0.164100527763367,TRUE,10
GeometricMean,Endothelial,SCP259_N50,0.164100527763367,TRUE,10
GeometricMean,Endothelial,SCP259_N539,0.137213110923767,TRUE,10
GeometricMean,Endothelial,SCP259_N58,0.137213110923767,TRUE,10
GeometricMean,Endothelial,SCP259_N661,0.150633096694946,TRUE,10
GeometricMean,Endothelial,SCP259_N9,0.164100527763367,TRUE,10
GeometricMean,Fibroblast,SCP259_N106,0.174819529056549,TRUE,10
GeometricMean,Fibroblast,SCP259_N111,0.149781048297882,TRUE,10
GeometricMean,Fibroblast,SCP259_N23,0.149781048297882,TRUE,10
GeometricMean,Fibroblast,SCP259_N24,0.149781048297882,TRUE,10
GeometricMean,Fibroblast,SCP259_N44,0.174819529056549,TRUE,10
GeometricMean,Fibroblast,SCP259_N49,0.174819529056549,TRUE,10
GeometricMean,Fibroblast,SCP259_N50,0.174819529056549,TRUE,10
GeometricMean,Fibroblast,SCP259_N539,0.149781048297882,TRUE,10
GeometricMean,Fibroblast,SCP259_N58,0.149781048297882,TRUE,10
GeometricMean,Fibroblast,SCP259_N661,0.168771624565125,TRUE,10
GeometricMean,Fibroblast,SCP259_N9,0.174819529056549,TRUE,10
GeometricMean,Myeloid,SCP259_N106,0.0998907089233398,TRUE,10
GeometricMean,Myeloid,SCP259_N111,0.0974072813987731,TRUE,10
GeometricMean,Myeloid,SCP259_N23,0.0974072813987731,TRUE,10
GeometricMean,Myeloid,SCP259_N24,0.0998907089233398,TRUE,10
GeometricMean,Myeloid,SCP259_N44,0.0998907089233398,TRUE,10
GeometricMean,Myeloid,SCP259_N49,0.0998907089233398,TRUE,10
GeometricMean,Myeloid,SCP259_N50,0.0998907089233398,TRUE,10
