gart_threshold,min_cells,expression_threshold,source,interaction_name,result_type,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,lodo_positive_fraction,lodo_n
1,10,0.05,Other epithelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0129037238448669,0.0134383648416849,0.00732916460562047,0.0185894311953459,0.00683593750000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0256119791666667,1,12
1,10,0.05,T/NK,,pathway,MIF,,,0.0071027087266423,0.00725186952467796,0.00413170409315592,0.0103774044049908,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00770718443627452,,
1,10,0.05,T/NK,,pathway,TRAIL,,,3.71775993393236e-05,7.04721822822761e-05,-6.38928570246195e-05,0.000513271055340904,0.375,0.714285714285714,7,exact Wilcoxon signed-rank,"",0.413527397260274,,
1,10,0.05,T/NK,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00670210797916462,0.00637546921774675,0.00315643434355235,0.0100496551623896,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00661238704819278,1,12
1,10,0.05,T/NK,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.000418799269973961,0.000403977049796017,-0.00303518750075644,0.00422988143762342,0.6875,0.571428571428571,7,exact Wilcoxon signed-rank,"",0.711556169429098,1,7
1,10,0.05,T/NK,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0071027087266423,0.00721584263840366,0.00413170409315592,0.00993700386616713,0.00244140625,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0123609938063063,1,12
1,10,0.1,Endothelial,,pathway,MIF,,,0.0104977783580785,0.0100963754704103,0.00654338797983889,0.0132454214850463,0.0341796875,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0503200954861111,,
1,10,0.1,Endothelial,,pathway,MK,,,0.0150670520701801,0.0148756705091437,0.0107470839082037,0.0241383138502031,0.0009765625,1,11,exact Wilcoxon signed-rank,"",0.00470525568181819,,
1,10,0.1,Endothelial,,pathway,TRAIL,,,0.0002390879352856,,,,,0.75,4,not estimable: <6 paired donors,"",,,
1,10,0.1,Endothelial,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.00973969084530091,0.00814270861480092,0.00493354411113067,0.0128995772995115,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Endothelial,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00539918262750509,,,,,1,4,not estimable: <6 paired donors,"",,1,4
1,10,0.1,Endothelial,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0104977783580785,0.0102571061619709,0.00659713691041491,0.0132454214850463,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Fibroblast,,pathway,BMP,,,0.00194620955782727,0.00248881718086622,0.000808396017154679,0.00496562322879613,0.01171875,0.888888888888889,9,exact Wilcoxon signed-rank,"",0.0225852272727273,,
1,10,0.1,Fibroblast,,pathway,MIF,,,0.0105816034037669,0.0105836276300689,0.00657958461234127,0.0131497510399347,0.0341796875,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0503200954861111,,
1,10,0.1,Fibroblast,,pathway,MK,,,0.0208413902946556,0.02205894844697,0.0158929640032653,0.031074468642627,0.00048828125,1,12,exact Wilcoxon signed-rank,"",0.00369698660714286,,
1,10,0.1,Fibroblast,,pathway,TRAIL,,,0.000146919062471194,,,,,0.75,4,not estimable: <6 paired donors,"",,,
1,10,0.1,Fibroblast,MIF_CD74_CD44,interaction,MIF,MIF,CD74_CD44,0.0092549684524886,0.00854233589928184,0.00480068203832583,0.0124353306732367,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Fibroblast,MIF_CD74_CXCR4,interaction,MIF,MIF,CD74_CXCR4,0.00544401241724876,,,,,1,4,not estimable: <6 paired donors,"",,1,4
1,10,0.1,Fibroblast,MIF_CD74_FAMILY,interaction_family,MIF,MIF,CD74-containing receptor complex family,0.0105816034037669,0.0105836276300689,0.00713495705742121,0.0131497510399347,0.000976562500000001,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.00503305288461539,1,12
1,10,0.1,Myeloid,,pathway,MIF,,,0.00637891012424338,0.00640406154979941,0.00271552713369638,0.00981773945786331,0.0341796875,0.916666666666667,12,exact Wilcoxon signed-rank,"",0.0503200954861111,,
1,10,0.1,Myeloid,,pathway,TRAIL,,,5.40190662523293e-05,,,,,0.75,4,not estimable: <6 paired donors,"",,,
