"omitted_dataset","k","pooled_Hedges_g","SE_HK","CI_low","CI_high","P_value","Cochran_Q","Q_P","I2_percent","tau2_REML","HK_scale"
"GSE24287",3,0.901920490158982,0.26618937038158,-0.243399930943612,2.04724091126158,0.0771587958082423,2.4604724644069,0.292223536916329,29.5316108202968,0.0910607295182291,0.782930734509654
"GSE36807",3,0.67118750505489,0.143154376142822,0.0552439377683955,1.28713107234138,0.0426045213570565,1.25073399668903,0.535065024503019,0,0,0.625366998344516
"GSE37283",3,0.703807399377063,0.155867393245327,0.0331641343511228,1.374450664403,0.0457093520567715,1.59444649791682,0.450578372631767,0,0,0.79722324895841
"GSE87466",3,0.923734994713431,0.242053615726279,-0.11773765573697,1.96520764516383,0.0623145453042955,1.92253796604825,0.382407309562026,15.4360856880003,0.0421524000110846,0.772911731596912
