dataset,n_Healthy,n_UC,Hedges_g,SE,CI_low,CI_high,cohort_weight_percent
GSE24287,25,27,0.656483542432513,0.284922771137815,0.0980451726270469,1.21492191223798,35.64087135508398
GSE36807,7,15,1.28679889263754,0.497148665554169,0.312405413189217,2.26119237208586,11.706581052684879
GSE37283,5,4,1.48416460764612,0.756554491780164,0.0013450514149977,2.96698416387725,5.055012155554715
GSE87466,21,87,0.5958569850467185,0.246552314199415,0.1126144492158649,1.079099520877572,47.59753543667642
