"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection"
"REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",0.33616298811545,0.445067861484213,0.0919686140000427,-0.424213826460451,-1.10111448289894,15,"B3GAT2|SDC4|XYLT1|HSPG2","Reactome"
"REACTOME_BACTERIAL_INFECTION_PATHWAYS",0.000752501793280087,0.0047428810210259,0.477270815362862,-0.523716468593197,-1.79737110308934,54,"HBEGF|ANTXR2|NOS2|RAB5A|RNF213|SH3KBP1|MAP2K3|CORO1A|CTNNB1|FURIN|MAP2K6|STAM2|PDCD6IP|B2M|UBC|MAPK3|MAP2K4|CDH1|TXNRD1|MET|DUSP16|VAMP2|MAP2K2|SRC|EPS15|CD9|GRB2|CTNND1|GUCY2C|SH3GL1|KPNA1|STAM|ATP6V1H|RAB7A","Reactome"
"REACTOME_BASE_EXCISION_REPAIR",0.000929193501530408,0.00564766449413581,0.477270815362862,0.656711038707585,2.40185257492993,43,"FEN1|RFC3|RFC4|LIG1|PCNA|RFC5|POLE2|RPA2|UNG|RFC2|PARP2|POLD1|PARP1|ACD|POLD3|RPA3|POLD2|RPA1|RFC1|POLE3|XRCC1|APEX1|POLE|MUTYH|NEIL2|POT1|TERF1|OGG1|PNKP","Reactome"
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",0.106172839506173,0.171526713055785,0.216542836735348,0.486950584199421,1.37312047765266,16,"UNG|ACD|MUTYH|NEIL2|POT1|TERF1|OGG1","Reactome"
"REACTOME_BASIGIN_INTERACTIONS",0.0882852292020374,0.149085434218535,0.195789002148949,-0.539783249316956,-1.40109330808095,15,"SLC16A3|SLC7A11|ATP1B1|ITGA3|ATP1B3|ITGA6","Reactome"
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",0.919831223628692,0.956154407837026,0.0332359307785383,-0.196495579885943,-0.747130509095739,93,"PRKG1|SMURF1|GNG12|GNB5|SMURF2|CTNNB1|FZD5|PPP3R1|CLTB|AGO4|KRAS|RAC2|TCF7L2|PPP3CA|ITPR2|UBC","Reactome"
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",0.067001675041876,0.120656939964747,0.224966093540314,-0.53540431511673,-1.42072758227608,16,"PPP2R5B|PPP2CB|CTNNB1|PPP2R5A","Reactome"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",0.0386956734815144,0.0801681198286004,0.321775918075361,-0.531493701925561,-1.55656963230157,23,"SLC51B|AKR1C1|AKR1C2|AKR1C3|ABCC3|OSBPL2|OSBPL7|STARD5|ACOT8|NCOA2|CYP27A1|NCOA1|SLC27A2|SCP2","Reactome"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",7.88906437558702e-08,1.81043913234625e-06,0.704975715167238,-0.774914076043946,-2.37017304103868,28,"COL3A1|IGLC2|IGHA2|IGHA1|LRP1|APOL1|IGLV6-57|IGKV1-5|IGHV3-7|IGKV4-1|IGLC3|APOE|IGLV2-14|SAA1|IGKV3-11|IGKV3-20|FTH1|IGLV3-21|COL4A2|IGLV3-1","Reactome"
"REACTOME_BIOLOGICAL_OXIDATIONS",0.00244941423476218,0.0107129032972368,0.431707695803346,-0.421791611603144,-1.65329368293383,110,"CYP3A5|CYP4F3|SULT2B1|SULT1A2|CHAC1|SLC26A2|PAOX|CYP4F11|NNMT|UGT2B17|SULT1B1|CYP2C18|SULT1A1|AOC1|CYP4F12|UGT2A3|SLC35D1|CES2|TPST2|TPMT|UGP2|SMOX|UGDH|NAT1|ACSS2|CMBL|NAT2|GGT6|BPNT1|GGT7|MGST3|SLC35B3|POR|CYB5R3|MAOA|NCOA2|CYP27A1|PAPSS2|NCOA1|CES3|GSTA1|GCLC","Reactome"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.983433734939759,0.997928789989892,0.0333092817548776,-0.172270684223555,-0.591225153878746,54,"ST6GALNAC6|ST3GAL4|NEU1|CTSA|ALG9|SLC17A5|DHDDS|HK1|SLC35C1|GNE|CMAS|UAP1|GFPT1|ST6GAL1|NUS1|SLC35A1|NEU4","Reactome"
