"donor_id","cohort","mean_score.negative","mean_score.positive","delta","module"
"SCP259_N58","SCP259",0.238452469358942,0.281783518923561,0.043331049564619,"Reactome_DNA_replication"
"SCP259_N661","SCP259",0.192651439223932,0.259218085909631,0.0665666466856991,"Reactome_DNA_replication"
"SCP259_N7","SCP259",0.303209377233285,0.294449575692392,-0.00875980154089318,"Reactome_DNA_replication"
"SCP259_N9","SCP259",0.306508906607185,0.370699844276348,0.0641909376691632,"Reactome_DNA_replication"
"GSE214695_HC4","GSE214695",NA,0.472230316141036,NA,"Reactome_DNA_replication"
"GSE214695_HC6","GSE214695",NA,0.34291888028625,NA,"Reactome_DNA_replication"
"GSE214695_HC2","GSE214695",0.0595529072552672,NA,NA,"Reactome_DNA_repair"
"GSE214695_HC3","GSE214695",0.137172970741239,0.207724156805005,0.0705511860637654,"Reactome_DNA_repair"
"GSE214695_HC5","GSE214695",0.0985989232736115,NA,NA,"Reactome_DNA_repair"
"GSE214695_UC1","GSE214695",0.139826626866931,NA,NA,"Reactome_DNA_repair"
"GSE214695_UC2","GSE214695",0.140388574582165,0.166147230897075,0.0257586563149101,"Reactome_DNA_repair"
"GSE214695_UC3","GSE214695",0.117959209774332,0.184180389144822,0.0662211793704896,"Reactome_DNA_repair"
"GSE214695_UC4","GSE214695",0.101405675562723,0.226792125179099,0.125386449616376,"Reactome_DNA_repair"
"GSE214695_UC5","GSE214695",0.0843232567154135,0.239270396336502,0.154947139621089,"Reactome_DNA_repair"
"GSE214695_UC6","GSE214695",0.108341404823934,0.177445950492981,0.0691045456690468,"Reactome_DNA_repair"
"SCP259_N10","SCP259",0.121042644087367,NA,NA,"Reactome_DNA_repair"
"SCP259_N106","SCP259",0.118226741572219,0.149635715055411,0.0314089734831919,"Reactome_DNA_repair"
"SCP259_N110","SCP259",0.0809141136988565,NA,NA,"Reactome_DNA_repair"
"SCP259_N111","SCP259",0.117930122264507,0.150116413408967,0.0321862911444601,"Reactome_DNA_repair"
"SCP259_N12","SCP259",0.164926349953823,NA,NA,"Reactome_DNA_repair"
"SCP259_N14","SCP259",0.176014323300335,0.140721561711992,-0.0352927615883432,"Reactome_DNA_repair"
"SCP259_N15","SCP259",0.116201466149482,NA,NA,"Reactome_DNA_repair"
"SCP259_N19","SCP259",0.150522095901225,0.150516855609906,-5.24029131832027e-06,"Reactome_DNA_repair"
"SCP259_N21","SCP259",0.132666450997144,NA,NA,"Reactome_DNA_repair"
"SCP259_N23","SCP259",0.101423208965658,0.150328834458612,0.0489056254929541,"Reactome_DNA_repair"
"SCP259_N24","SCP259",0.143913627592141,0.170558748997466,0.0266451214053243,"Reactome_DNA_repair"
"SCP259_N26","SCP259",0.11613646277489,0.102148308613963,-0.0139881541609264,"Reactome_DNA_repair"
"SCP259_N44","SCP259",0.119712923412915,0.137335690026261,0.0176227666133458,"Reactome_DNA_repair"
"SCP259_N49","SCP259",0.119430754478167,0.139585154901723,0.0201544004235562,"Reactome_DNA_repair"
"SCP259_N50","SCP259",0.110069746749433,0.142760889548109,0.0326911427986762,"Reactome_DNA_repair"
"SCP259_N51","SCP259",0.110879045037179,0.11412832342225,0.003249278385071,"Reactome_DNA_repair"
"SCP259_N52","SCP259",0.0778400411627661,0.100837813944695,0.0229977727819288,"Reactome_DNA_repair"
"SCP259_N539","SCP259",0.104340792203887,0.119942612576092,0.0156018203722053,"Reactome_DNA_repair"
"SCP259_N58","SCP259",0.120773896636587,0.14384101376709,0.0230671171305035,"Reactome_DNA_repair"
"SCP259_N661","SCP259",0.0913157759538995,0.128853556897154,0.0375377809432541,"Reactome_DNA_repair"
"SCP259_N7","SCP259",0.150511601492953,0.140248613899647,-0.0102629875933057,"Reactome_DNA_repair"
"SCP259_N9","SCP259",0.145717102999045,0.179080893287924,0.0333637902888796,"Reactome_DNA_repair"
"GSE214695_HC4","GSE214695",NA,0.24168247036488,NA,"Reactome_DNA_repair"
"GSE214695_HC6","GSE214695",NA,0.188346557142775,NA,"Reactome_DNA_repair"
"GSE214695_HC2","GSE214695",0.0753023780602081,NA,NA,"Reactome_mitotic_cell_cycle"
"GSE214695_HC3","GSE214695",0.147105172068094,0.221639099441365,0.0745339273732711,"Reactome_mitotic_cell_cycle"
"GSE214695_HC5","GSE214695",0.0980752317590449,NA,NA,"Reactome_mitotic_cell_cycle"
"GSE214695_UC1","GSE214695",0.143228709309849,NA,NA,"Reactome_mitotic_cell_cycle"
"GSE214695_UC2","GSE214695",0.151788330309782,0.155620382507446,0.00383205219766389,"Reactome_mitotic_cell_cycle"
"GSE214695_UC3","GSE214695",0.139651235730017,0.189063155268472,0.0494119195384556,"Reactome_mitotic_cell_cycle"
"GSE214695_UC4","GSE214695",0.0870970276869503,0.234930472145592,0.147833444458642,"Reactome_mitotic_cell_cycle"
"GSE214695_UC5","GSE214695",0.0854896878187774,0.275289489011204,0.189799801192427,"Reactome_mitotic_cell_cycle"
"GSE214695_UC6","GSE214695",0.117102787201558,0.190777696717467,0.0736749095159083,"Reactome_mitotic_cell_cycle"
"SCP259_N10","SCP259",0.077042376866055,NA,NA,"Reactome_mitotic_cell_cycle"
"SCP259_N106","SCP259",0.115453543129633,0.150389649250053,0.0349361061204198,"Reactome_mitotic_cell_cycle"
"SCP259_N110","SCP259",0.0977209576802162,NA,NA,"Reactome_mitotic_cell_cycle"
"SCP259_N111","SCP259",0.109859473510878,0.143964026103053,0.0341045525921753,"Reactome_mitotic_cell_cycle"
"SCP259_N12","SCP259",0.181171505911583,NA,NA,"Reactome_mitotic_cell_cycle"
"SCP259_N14","SCP259",0.144311765221339,0.144078639347881,-0.000233125873458667,"Reactome_mitotic_cell_cycle"
"SCP259_N15","SCP259",0.0686201224893392,NA,NA,"Reactome_mitotic_cell_cycle"
"SCP259_N19","SCP259",0.109727627351673,0.145150655024848,0.0354230276731749,"Reactome_mitotic_cell_cycle"
"SCP259_N21","SCP259",0.0777098786276365,NA,NA,"Reactome_mitotic_cell_cycle"
"SCP259_N23","SCP259",0.0948810185923922,0.146650864809202,0.0517698462168097,"Reactome_mitotic_cell_cycle"
"SCP259_N24","SCP259",0.138291851430562,0.164644244656719,0.0263523932261572,"Reactome_mitotic_cell_cycle"
"SCP259_N26","SCP259",0.10361298302455,0.0957216209605495,-0.00789136206400028,"Reactome_mitotic_cell_cycle"
"SCP259_N44","SCP259",0.116822993935811,0.136403921317734,0.0195809273819229,"Reactome_mitotic_cell_cycle"
"SCP259_N49","SCP259",0.116078114742622,0.136852273445639,0.0207741587030163,"Reactome_mitotic_cell_cycle"
"SCP259_N50","SCP259",0.113147609026975,0.145720681078586,0.0325730720516109,"Reactome_mitotic_cell_cycle"
"SCP259_N51","SCP259",0.106374229638994,0.113002891439802,0.00662866180080803,"Reactome_mitotic_cell_cycle"
"SCP259_N52","SCP259",0.0679838559178109,0.102781630332572,0.034797774414761,"Reactome_mitotic_cell_cycle"
"SCP259_N539","SCP259",0.0903074383279436,0.109045068686397,0.0187376303584533,"Reactome_mitotic_cell_cycle"
"SCP259_N58","SCP259",0.10618919012796,0.135215948746817,0.0290267586188575,"Reactome_mitotic_cell_cycle"
"SCP259_N661","SCP259",0.0944037135045988,0.130071500562038,0.0356677870574393,"Reactome_mitotic_cell_cycle"
"SCP259_N7","SCP259",0.132315871179854,0.13129540456233,-0.00102046661752417,"Reactome_mitotic_cell_cycle"
"SCP259_N9","SCP259",0.116062666012569,0.147746534320367,0.0316838683077984,"Reactome_mitotic_cell_cycle"
"GSE214695_HC4","GSE214695",NA,0.262038965065229,NA,"Reactome_mitotic_cell_cycle"
"GSE214695_HC6","GSE214695",NA,0.223146365524026,NA,"Reactome_mitotic_cell_cycle"
"GSE214695_HC2","GSE214695",0.392357504578452,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_HC3","GSE214695",0.101701378851208,-0.0567842092119097,-0.158485588063118,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_HC5","GSE214695",0.205421599877392,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC1","GSE214695",-0.0683489161784612,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC2","GSE214695",0.521369070797832,0.26405029479159,-0.257318776006242,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC3","GSE214695",0.449265635703444,0.445248059129488,-0.00401757657395524,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC4","GSE214695",0.434634120009686,0.352692994672481,-0.0819411253372053,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC5","GSE214695",0.14730815185038,0.199780609360439,0.0524724575100592,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_UC6","GSE214695",0.536521538404834,0.464538760257648,-0.0719827781471859,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N10","SCP259",0.0628406782314343,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N106","SCP259",0.478349227860275,0.483376317186255,0.00502708932598039,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N110","SCP259",0.266237001922235,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N111","SCP259",0.635806237962585,0.627802153552669,-0.00800408440991618,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N12","SCP259",0.0895730460775359,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N14","SCP259",0.367852885752646,0.223125418877299,-0.144727466875347,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N15","SCP259",0.205717445481805,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N19","SCP259",0.743840486596075,0.749569378407193,0.00572889181111791,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N21","SCP259",0.342621252927328,NA,NA,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N23","SCP259",0.510518048712693,0.46002142255141,-0.0504966261612825,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N24","SCP259",0.505481837159171,0.48740244509729,-0.0180793920618811,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N26","SCP259",0.0999027526755421,0.0688670729418137,-0.0310356797337284,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N44","SCP259",0.63537526566231,0.591856650655344,-0.0435186150069661,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N49","SCP259",0.231303525493875,0.263410826207481,0.0321073007136054,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N50","SCP259",0.317615795360261,0.419303272896393,0.101687477536132,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N51","SCP259",0.219655345826793,0.173530783943323,-0.0461245618834697,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N52","SCP259",0.143974971329134,0.192121664230219,0.0481466929010848,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N539","SCP259",0.56264687214971,0.579597347957399,0.0169504758076885,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N58","SCP259",0.563381150672712,0.51236324157785,-0.0510179090948623,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N661","SCP259",0.45593741283837,0.434616826799439,-0.0213205860389307,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N7","SCP259",0.529047433770414,0.591259327926656,0.0622118941562424,"GO_intestinal_stem_cell_homeostasis"
"SCP259_N9","SCP259",0.560297970800985,0.549005512046776,-0.011292458754209,"GO_intestinal_stem_cell_homeostasis"
"GSE214695_HC4","GSE214695",NA,0.312833838167283,NA,"GO_intestinal_stem_cell_homeostasis"
