"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection","displayed","analysis_type","n_donors","effect","CI_low","CI_high","P","FDR","selection_display_rule"
"HALLMARK_E2F_TARGETS",1e-10,5e-10,NA,0.798722321069872,3.71544018455054,195,"PLK4|POLA2|MCM2|RFC3|UBE2T|MCM6|MCM5|ASF1B|SPC25|ORC6|DSCC1|PSMC3IP|CENPM|LIG1|MCM7|TK1|RNASEH2A|DONSON|CDK1|PCNA|MCM3|DCLRE1B|HELLS|KIF2C|AURKB|BRCA1|RRM2|KIF18B|MYBL2|MAD2L1|MELK|BARD1|CHEK1|ATAD2|CDC25A|TIPIN|CDCA3|DNMT1|TCF19|KIF4A|GINS3|TIMELESS|CTPS1|CDKN2C|GINS4|E2F8|DLGAP5|RPA2|UNG|TRIP13|CDC20|RFC2|NOLC1|LMNB1|HMGB2|ESPL1|MCM4|CSE1L|CDKN3|MSH2|CCNE1|PAICS|DUT|NOP56|RAD51AP1|CDK4|POLD1|NME1|NASP|PRIM2|EXOSC8|RANBP1|STMN1|TUBB|CDCA8|PLK1|POLD3|TACC3|UBE2S|RPA3|RAD51C|EZH2|KPNA2|RACGAP1|BUB1B|DIAPH3|BIRC5|SUV39H1|USP1|PTTG1|LYAR|PA2G4|DEPDC1|BRCA2|NCAPD2|PRPS1|CHEK2|MMS22L|SLBP|TUBG1|POLD2|MLH1|CKS1B|SPC24|PRKDC|CCNB2|HNRNPD|CKS2|NUP107|CIT|RAN|RAD1|SHMT1|ZW10|TOP2A|PSIP1|MXD3|DDX39A|HMMR|SNRPB|MKI67|TMPO|HMGB3|SMC4|EIF2S1|DCTPP1|EED|RBBP7|SMC3|RPA1|PRDX4|WDR90|SSRP1|RFC1|PHF5A|NAP1L1|CBX5|KIF22|HMGA1","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,3.71544018455054,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_G2M_CHECKPOINT",1e-10,5e-10,NA,0.699589910956419,3.21020769996247,181,"CDC45|PLK4|POLA2|E2F1|MCM2|CDC7|GINS2|CDC6|MCM6|RAD54L|MCM5|ORC6|FBXO5|BUB1|CDK1|MCM3|KIF2C|AURKB|CHAF1A|MYBL2|MAD2L1|BARD1|CHEK1|CDC25A|DTYMK|KIF4A|CDKN2C|EXO1|RPA2|PBK|UBE2C|CDC20|KIF23|NOLC1|LMNB1|RBL1|ESPL1|CDKN3|KIF11|SAP30|CCNA2|NUSAP1|PRC1|CDK4|NDC80|TTK|STIL|NASP|PRIM2|FANCC|STMN1|PLK1|KIF20B|TACC3|UBE2S|EZH2|KIF15|KPNA2|RACGAP1|POLQ|BIRC5|TROAP|SUV39H1|NEK2|PTTG1|BRCA2|E2F2|TPX2|CKS1B|SMC2|CCNB2|HNRNPD|CKS2|TOP2A|HIRA|DDX39A|TFDP1|HMMR|MKI67|SNRPD1|TRAIP|TMPO|HMGB3|DBF4|SMC4|BUB3|DKC1","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,3.21020769996247,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_MYC_TARGETS_V1",1e-10,5e-10,NA,0.642204148114386,2.98186736175158,193,"CDC45|MCM2|MCM6|RFC4|MCM5|MCM7|PCNA|TYMS|RRM1|MAD2L1|CAD|CTPS1|CDK2|CDC20|NOLC1|MCM4|CCNA2|DUT|NOP56|CDK4|NME1|SRM|RANBP1|KPNA2|C1QBP|EIF3B|USP1|PA2G4|RUVBL2|POLD2|HNRNPD|RAN|ILF2|TFDP1|PSMA2|HSPD1|EXOSC7|TRIM28|SSB|SNRPA1|SNRPD1|PSMA6|GNL3|NHP2|EIF2S1|BUB3|CCT7|SRSF7|NOP16|NPM1|LSM2|PRDX4|FBL|HDAC2|XPOT|PPM1G|CBX3|NAP1L1|POLE3|SNRPA|GOT2|PRPS2|CCT2|CCT5|SSBP1|PSMB2|CCT4|HPRT1|SYNCRIP|PSMB3|DEK|U2AF1|NDUFAB1|KPNB1|HSPE1|PRPF31|SF3B3|HNRNPR|APEX1|PSMD7|PSMD14|RPS10|AIMP2|CSTF2|MRPL9|XRCC6|LSM7|SNRPG|ABCE1|NCBP1|PRDX3|SNRPD3|RPS2|PHB2|IMPDH2|PABPC4|EIF2S2|TXNL4A|CYC1|DDX18|CCT3|ERH|PWP1|HNRNPA2B1|RPS3|HSP90AB1|RRP9|PPIA|SERBP1|HNRNPA3|SRSF3|MRPS18B|TARDBP|G3BP1|SET|HNRNPC|SMARCC1|CNBP|TCP1|UBA2|PTGES3","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,2.98186736175158,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_MYC_TARGETS_V2",8.49412478807043e-07,3.03361599573944e-06,0.659444398037935,0.723834761170913,2.78241996968493,57,"PLK4|MCM5|IPO4|UNG|TMEM97|NOLC1|TCOF1|MCM4|NOP56|CDK4|BYSL|SRM|PLK1|RCL1|PA2G4|MRTO4|LAS1L|EXOSC5|PPAN|HSPD1|NOC4L|MYBBP1A|PUS1|RRP12|GNL3|NDUFAF4|PPRC1|SUPV3L1|SLC29A2|NOP16|DCTPP1|NPM1|UTP20|CBX3|SLC19A1|WDR74|HSPE1|IMP4|AIMP2|PRMT3|FARSA|GRWD1|NOP2|DDX18|MPHOSPH10|TFB2M|PES1","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,2.78241996968493,NA,NA,8.49412478807043e-07,3.03361599573944e-06,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_DNA_REPAIR",0.00051064863928985,0.000982016614018942,0.477270815362862,0.457468325474441,2.06238306808035,139,"FEN1|POLA2|RFC3|RFC4|LIG1|RAD51|PCNA|PRIM1|TYMS|ZWINT|POLA1|RFC5|RPA2|RFC2|UMPS|DUT|POLD1|NME1|ALYREF|POLD3|RPA3|SAC3D1|POLR2G|DGCR8|RAE1|DDB2|CLP1|POLR2E|SSRP1|POLR1C|POLR2I|SF3A3|POLR2D|CSTF3|HPRT1|AAAS|CCNO|GTF3C5|NME4|MRPL40|IMPDH2|POLR2H|TARBP2|ITPA|APRT|ADA|SNAPC4|CETN2|NUDT21|RRM2B|TP53|BRF2|RBX1","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,2.06238306808035,NA,NA,0.00051064863928985,0.000982016614018942,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_SPERMATOGENESIS",0.00328425752558622,0.00547376254264369,0.431707695803346,0.494106090126789,1.93370525615373,61,"RFC4|BUB1|CDK1|KIF2C|HSPA4L|NCAPH|PARP2|CDKN3|TTK|PSMG1|EZH2|NPHP1|NEK2|CCNB2|YBX2|DBF4|RPL39L|IP6K1","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.93370525615373,NA,NA,0.00328425752558622,0.00547376254264369,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_PANCREAS_BETA_CELLS",0.0264775954538627,0.040117568869489,0.352487857583619,0.576178076029312,1.6447957823509,16,"CHGA|PCSK1|STXBP1|FOXA2|SRPRB","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.6447957823509,NA,NA,0.0264775954538627,0.040117568869489,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00617749295759317,0.00996369831869866,0.407017918923954,0.352173079475668,1.48940002615836,101,"GEMIN4|PSAT1|NOLC1|EXOSC9|NOP56|EIF4EBP1|EXOSC2|WFS1|SLC1A4|CKS1B|EXOSC5|PDIA5|BANF1|NHP2|EIF2S1|DKC1|PREB|EIF4A3|NPM1|EXOSC4|SRPRB|ASNS|XPOT|NFYB|NFYA|KHSRP|LSM4|HSPA9|EXOSC1|DDX10|DCP2|EXOC2|IMP3|RRP9|EXOSC10|FUS|YIF1A|NOP14|MTHFD2|PDIA6|GOSR2|EIF4G1|TATDN2|RPS14","Hallmark",TRUE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.48940002615836,NA,NA,0.00617749295759317,0.00996369831869866,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0474435890892533,0.0641129582287207,0.321775918075361,0.306133656981134,1.37546483152839,135,"GART|REG1A|TMEM97|MTHFD1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.37546483152839,NA,NA,0.0474435890892533,0.0641129582287207,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_MITOTIC_SPINDLE",0.124801849456737,0.156002311820922,0.287805130535564,0.297242501565331,1.3692686557896,182,"FBXO5|BUB1|CDK1|KIF2C|KIF4A|DLGAP5|GEMIN4|KNTC1|CENPJ|KIF23|LMNB1|ESPL1|KIF11|NUSAP1|PRC1|NDC80|TTK|PLK1|KIF20B|KIF15|RACGAP1|BIRC5|NEK2|BRCA2|ARAP3|TPX2|SAC3D1|CCNB2|ANLN|TOP2A|KATNB1|SASS6|TBCD|CEP250|SMC4|SMC3|CNTROB|TUBGCP6|ECT2|RFC1|KPTN","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.3692686557896,NA,NA,0.124801849456737,0.156002311820922,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_MTORC1_SIGNALING",0.0870429664949104,0.111593546788347,0.287805130535564,0.266997310634977,1.22981324562032,183,"MCM2|BUB1|RRM2|CDC25A|UNG|TMEM97|PSAT1|MCM4|POLR3G|PLK1|PSMG1|EEF1E1|STIP1|HMBS|DHFR|SLC1A4|PNO1|SHMT2|TUBG1|PHGDH|FADS2|GGA2|SDF2L1|CACYBP|DDX39A|HSPD1|TOMM40|GMPS|RPA1|ASNS|CCNF|HPRT1|CCT6A|FADS1|HSPE1|AURKA|PSMB5|IFI30|NUFIP1|GOT1|QDPR|SLC1A5|PSMD14|ENO1|HSPA9|PSMA3|UCHL5|NUP205|DHCR7|ACLY|TUBA4A|EIF2S2|ACACA","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.22981324562032,NA,NA,0.0870429664949104,0.111593546788347,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.343669250645995,0.373553533310864,0.116739204791222,0.31216494568542,1.06369386960123,31,"DLL1|PTCH1|KAT2A|SKP2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.06369386960123,NA,NA,0.343669250645995,0.373553533310864,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.267676767676768,0.311252055438102,0.193813302725311,0.229960061203581,1.05521756045673,181,"LDHB|HTRA2|TIMM50|NDUFV2|TIMM10|SUPV3L1|TIMM13|MRPL11|GOT2|NDUFA7|GRPEL1|MDH1|IDH2|NDUFAB1|MRPS12|FXN|SLC25A11|ECI1|LRPPRC|MRPL15|HSPA9|PDHB|ECHS1|TIMM17A|PRDX3|PHB2|FH|MRPS15|CYC1|IDH3B|NDUFS8|NDUFA9|MRPL34|OAT|SLC25A4|AFG3L2|NDUFS2|HSD17B10|BAX|GPX4|MRPS22|HCCS|NDUFS7|NQO2|MRPS11|UQCRFS1|PDHA1|ATP6V0B|AIFM1|PMPCA|ETFB|SUCLG1|UQCRC1|TOMM22|NDUFB8|NDUFV1|ECH1|POLR2F|CYB5A|IMMT|OXA1L|MDH2|MRPS30|MFN2|ACADSB|NDUFS1|COX11|NDUFA6|NDUFB6|NDUFS3|TIMM8B|SDHB|VDAC3|TIMM9|ISCU|ACAT1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,1.05521756045673,NA,NA,0.267676767676768,0.311252055438102,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_NOTCH_SIGNALING",0.524547803617571,0.535252860834256,0.0905428948469474,0.298179779623912,0.950665968554843,25,"DLL1|SAP30|KAT2A","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,0.950665968554843,NA,NA,0.524547803617571,0.535252860834256,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.629746835443038,0.629746835443038,0.0561766586307176,-0.273836764794702,-0.899307718686814,41,"LSP1|GLRX|JUNB|SBNO2|PFKP|NQO1|PRDX6|TXNRD1|PDLIM1|SOD2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-0.899307718686814,NA,NA,0.629746835443038,0.629746835443038,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_GLYCOLYSIS",0.424479166666667,0.442165798611111,0.0656813601934011,-0.24867244308,-1.02070756860358,156,"TGFA|EGLN3|ISG20|B4GALT1|MXI1|HK2|PLOD2|SLC16A3|PPP2CB|DSC2|ALDOB|CXCR4|QSOX1|DDIT4|UGP2|IRS2|GAL3ST1|VEGFA|GLRX|PC|ZNF292|CITED2|EGFR|P4HA1|EXT1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.02070756860358,NA,NA,0.424479166666667,0.442165798611111,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_UV_RESPONSE_UP",0.412634408602151,0.438972775108671,0.0686325631836726,-0.256559298440428,-1.02781896714949,125,"CDKN2B|HMOX1|SLC6A8|BMP2|C4BPB|ICAM1|CA2|IRF1|ATF3|SULT1A1|NFKBIA|BTG1|BAK1|ALAS1|SQSTM1|RHOB|IL6ST|BTG2|FURIN|NAT1|JUNB|CLTB|DNAJB1|PRKCD|MARK2|CLCN2|MMP14|EPCAM|FOSB|TST|GLS|ACAA1|SOD2|FOS|GRINA","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.02781896714949,NA,NA,0.412634408602151,0.438972775108671,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_PEROXISOME",0.262068965517241,0.311252055438102,0.0943563635421779,-0.294340950358703,-1.11648453719193,85,"NR1I2|SULT2B1|ATXN1|BCL10|UGT2B17|ABCC5|SEMA3C|RETSAT|ACOX1|HSD11B2|STS|ABCD1|MVP|ACSL5|DHRS3|HSD17B11|ACAA1|EHHADH|EPHX2|SOD2|CRAT|LONP2|ACOT8|CLN8|ABCD3|SLC27A2|PEX14|VPS4B|SCP2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.11648453719193,NA,NA,0.262068965517241,0.311252055438102,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_APICAL_SURFACE",0.287603305785124,0.321489001692047,0.0995791200495904,-0.398229717540792,-1.1305455245865,21,"PLAUR|B4GALT1|HSPB1|IL2RG|ADIPOR2|ADAM10","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.1305455245865,NA,NA,0.287603305785124,0.321489001692047,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_HEDGEHOG_SIGNALING",0.289340101522843,0.321489001692047,0.100633389423036,-0.438426863207473,-1.14316969881326,15,"ACHE|SHH|VEGFA|TLE3|PML|NF1|TLE1|MYH9|AMOT|ETS2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.14316969881326,NA,NA,0.289340101522843,0.321489001692047,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_FATTY_ACID_METABOLISM",0.130026809651475,0.158569280062774,0.139599673451922,-0.305077386348557,-1.22338288965632,130,"CA4|FABP1|HPGD|VNN1|GABARAPL1|TP53INP2|LGALS1|CA2|MGLL|RETSAT|ACOX1|CPT1A|GPD2|SLC22A5|UGDH|ADIPOR2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.22338288965632,NA,NA,0.130026809651475,0.158569280062774,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_BILE_ACID_METABOLISM",0.0860832137733142,0.111593546788347,0.181383128498408,-0.36522778239165,-1.3354229105154,70,"NR1I2|SULT2B1|ABCA1|PAOX|ATXN1|SULT1B1|SLC22A18|OPTN|BCAR3|EFHC1|RETSAT|ABCA5|NR3C2|PNPLA8|ABCD1|PEX26|ACSL5|HSD17B11|TFCP2L1|EPHX2|LONP2|CYP27A1|NUDT12|ABCD3|SLC27A2|PHYH","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.3354229105154,NA,NA,0.0860832137733142,0.111593546788347,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.032373086305996,0.0462472661514229,0.321775918075361,-0.339006430183115,-1.384094370063,146,"SEMA3B|ISG20|TFF1|SULT2B1|LAMC2|PRSS23|KCNK5|CLIC3|SLC26A2|CYP4F11|TRIM29|SGK1|JAK2|TPSAB1|CA2|EGR3|KLF4|MYOF|KRT19|FLNB|ATP2B4|FGFR3|TOB1|TJP3|ZFP36|ADD3|CA12|PERP|RPS6KA2|OPN3|SLC22A5|UGDH|ASS1|IL6ST|FRK|ID2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.384094370063,NA,NA,0.032373086305996,0.0462472661514229,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0286276264885198,0.0420994507184114,0.352487857583619,-0.386487833233027,-1.47059188255851,86,"CDKN1A|DAPP1|RALB|RIT1|PDK1|SLC2A1|CXCR4|PIK3R3|IL2RG|VAV3|MYD88|CAB39|MAP2K3|SQSTM1|TNFRSF1A|NCK1|MAPK8|DDIT3|DUSP3|EGFR|MAP2K6|ACTR3|RIPK1|ITPR2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.47059188255851,NA,NA,0.0286276264885198,0.0420994507184114,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0411221145968079,0.057114048051122,0.321775918075361,-0.414342681353001,-1.49541499594888,65,"ERRFI1|SEMA3B|PLAUR|PNRC1|CPEB2|ANTXR2|ATF3|PPARG|TP53INP1|NFIL3|LGALS3|JAG1|MAL2|LDLR|CTNNB1|CLU|ACSS2|ETHE1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.49541499594888,NA,NA,0.0411221145968079,0.057114048051122,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
