"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","collection","displayed","analysis_type","n_donors","effect","CI_low","CI_high","P","FDR","selection_display_rule"
"HALLMARK_ALLOGRAFT_REJECTION",4.83542119498439e-06,1.42218270440717e-05,0.610526878385931,-0.511531665853121,-1.9880367191823,102,"IL1B|ACHE|CD79A|SRGN|EREG|PTPRC|GBP2|JAK2|BCL10|ICAM1|IFNGR1|IL18|LTB|IRF7|IL2RG|ICOSLG|IL15|NOS2|IFNAR2|ABI1|IL7|IFNGR2|CCL5|CXCR3|NCK1|ELF4|CTSS|TLR3|HLA-E|EGFR|EIF4G3|HLA-DOA|ETS1|HLA-DQA1|B2M|CDKN2A|GALNT1|CD7|LY75|ACVR2A|TIMP1|CD3D|TPD52|TAPBP|LYN|HIF1A|IL4R|BCL3","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-1.9880367191823,NA,NA,4.83542119498439e-06,1.42218270440717e-05,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",9.14732569683635e-06,2.40719097285167e-05,0.593325476396405,-0.530361794799886,-2.01803441968021,86,"IFIT2|OASL|BATF2|ISG20|SAMD9|ISG15|SAMD9L|GBP2|OAS1|IRF1|MX1|IRF7|DDX60|TXNIP|IL15|SP110|IRF9|CASP8|IL7|IFI27|CMPK2|NCOA7|HELZ2|IFIT3|EPSTI1|TRAFD1|IFI44|LPAR6|B2M|PARP12|CXCL11|UBA7|GBP4|CCRL2|PLSCR1|PARP9|IRF2|ELF1|TDRD7|IL4R|TRIM25|PARP14|IFI35|MOV10|STAT2|TRIM5|NUB1|OGFR","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.01803441968021,NA,NA,9.14732569683635e-06,2.40719097285167e-05,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_COAGULATION",1.94226409095623e-05,4.62443831180056e-05,0.575610261071129,-0.562187779138214,-2.02900660080983,65,"ANXA1|MEP1A|PRSS23|CTSE|F3|MAFF|THBS1|LRP1|MMP3|CFI|CPQ|HNF4A|GSN|FN1|GNG12|CAPN2|C1R|ITGA2|FURIN|BMP1|DUSP6|GDA|CLU|MMP15","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.02900660080983,NA,NA,1.94226409095623e-05,4.62443831180056e-05,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_HEME_METABOLISM",8.38418723580482e-08,3.22468739838647e-07,0.704975715167238,-0.500928405731982,-2.05280979086567,149,"CA1|GYPC|SLC6A8|MXI1|CTSE|SLC6A9|RNF19A|RIOK3|PPP2R5B|SLC7A11|CA2|BACH1|OPTN|YPEL5|PDZK1IP1|SLC2A1|IGSF3|BNIP3L|PICALM|KLF3|AGPAT4|NUDT4|MAP2K3|LRP10|CAST|ELL2|ATP6V0A1|SMOX|ERMAP|KAT2B|NFE2L1|SDCBP|TOP1|BTG2|SLC10A3|PC|ENDOD1|TFDP2|MKRN1|ARHGEF12|CLCN3|ATG4A|MOSPD1|SLC30A1|FOXO3|GDE1|SEC14L1|RANBP10|DCUN1D1|NEK7|SELENBP1|LPIN2|NCOA4|MGST3|ADD1|MBOAT2|DCAF11|DAAM1|FBXO34|CCDC28A|ALDH1L1|TRIM58|TNRC6B|HTATIP2|SYNJ1|XK|SLC25A37","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.05280979086567,NA,NA,8.38418723580482e-08,3.22468739838647e-07,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2.26031566484487e-05,5.13708105646562e-05,0.575610261071129,-0.588909846614593,-2.06187296587716,53,"IL1B|HMOX1|IFNGR1|SOCS3|IRF1|TNFRSF21|LTB|CXCL1|IL2RG|IL10RB|BAK1|IRF9|ACVRL1|IL7|MYD88|PIM1|MAP3K8|TNFRSF1A|IFNGR2|IL6ST|STAT3|STAM2|CD14","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.06187296587716,NA,NA,2.26031566484487e-05,5.13708105646562e-05,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_P53_PATHWAY",6.85457523904285e-09,2.85607301626785e-08,0.761460801445585,-0.504210233121151,-2.10292927455229,167,"CDKN2B|STOM|HMOX1|TM4SF1|MXD1|CDKN1A|TGFA|EPHA2|TSC22D1|DGKA|PDGFA|HBEGF|BMP2|SLC7A11|ABHD4|UPP1|PPP1R15A|SERTAD3|RAP2B|ABCC5|KLF4|OSGIN1|RALGDS|ATF3|TXNIP|NDRG1|RNF19B|CTSD|SAT1|TOB1|BTG1|DDIT4|SLC35D1|BAK1|TAX1BP3|RETSAT|PLK3|PITPNC1|S100A4|PERP|TCN2|ITGB4|SERPINB5|HEXIM1|BTG2|TRAFD1|VAMP8|DDIT3|VDR|SP1|TSPYL2|FOXO3|WWP1|APAF1|FUCA1|CDKN2A|ZFP36L1|ANKRA2|PLK2|IER3|BAIAP2|KIF13B|EPS8L2|S100A10|GADD45A|CD82|TRAF4|FOS|DRAM1|MDM2|CDKN2AIP|ST14|SDC1|AK1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.10292927455229,NA,NA,6.85457523904285e-09,2.85607301626785e-08,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.36202925217647e-10,1.52819511462567e-09,0.814035837847908,-0.533113443622701,-2.18481370573643,153,"ZBP1|TNFAIP2|IFIT2|OASL|CDKN1A|BATF2|ISG20|ISG15|SAMD9L|TNFAIP3|VAMP5|JAK2|ICAM1|SOCS3|SPPL2A|UPP1|XAF1|IRF1|MX1|IRF7|DDX60|TXNIP|NFKBIA|BTG1|CASP7|IL15|SP110|IFNAR2|ARL4A|IRF9|CASP8|RNF213|IL7|MYD88|C1R|PELI1|PIM1|IFI27|TNFSF10|CCL5|CMPK2|HELZ2|PDE4B|EIF4E3|IFIT3|EPSTI1|TRAFD1|VAMP8|STAT3|ZNFX1|APOL6|NCOA3|IFI44|PFKP|RIPK1|HLA-DQA1|MVP|B2M|CD69|PARP12|CXCL11","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.18481370573643,NA,NA,3.36202925217647e-10,1.52819511462567e-09,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_TGF_BETA_SIGNALING",1.95658068537393e-06,6.52193561791309e-06,0.627256739718528,-0.646557273966386,-2.21314956462802,46,"THBS1|BMP2|ACVR1|ID1|PPP1R15A|SMAD7|SMURF1|SKIL|BCAR3|PMEPA1|XIAP|IFNGR2|BMPR2|SMAD3|SMURF2|CTNNB1|KLF10|ID2|FURIN|PPM1A|JUNB|SPTBN1|ARID4B|ID3|CDH1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.21314956462802,NA,NA,1.95658068537393e-06,6.52193561791309e-06,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_APOPTOSIS",1e-10,5e-10,NA,-0.584179933541764,-2.34187171462038,126,"EMP1|TIMP2|IL1B|ANXA1|HMOX1|CDKN1A|ISG20|BIRC3|EREG|BMP2|RARA|PPP2R5B|BCL10|IFNGR1|EGR3|IL18|IRF1|SMAD7|HSPB1|ATF3|TXNIP|BNIP3L|SAT1|GSN|CASP7|RETSAT|LGALS3|PMAIP1|BCL2L1|CASP8|XIAP|SQSTM1|MCL1|TNFSF10|DPYD|CYLD|RHOB|CTNNB1|BTG2|DDIT3|GADD45B|PPP3R1|IGF2R|PSEN1|CFLAR|CLU|CD14|PSEN2|ERBB2|CD69|IER3|GNA15|ERBB3|RNASEL|ROCK1|ADD1|CTH|PDCD4|GADD45A|VDAC2|SOD2|TIMP1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.34187171462038,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_INFLAMMATORY_RESPONSE",1e-10,5e-10,NA,-0.60681264253094,-2.35957437900238,101,"IL1B|MXD1|MEP1A|CDKN1A|PLAUR|CD55|ADM|EREG|F3|CCL20|RGS1|HBEGF|ABCA1|ICAM1|P2RY2|IL18|IRF1|EDN1|TNFSF15|KLF6|IRF7|NFKBIA|HRH1|SLC4A4|EMP3|ICOSLG|IL15|ABI1|LDLR|RHOG|IFNGR2|TNFSF10|CCL5|ATP2B1|PDE4B|TLR3|BTG2|FZD5|PSEN1|CD14|CD69|MMP14|CXCL11|SGMS2|GNA15|ACVR2A|CCRL2|MET|CD82|TIMP1|LPAR1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.35957437900238,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_KRAS_SIGNALING_UP",1e-10,5e-10,NA,-0.613008538516088,-2.39338539195083,105,"EMP1|IL1B|PRDM1|GYPC|SEMA3B|PLAUR|CD37|MALL|BIRC3|HKDC1|EREG|CCL20|TNFAIP3|HBEGF|BMP2|TSPAN1|CA2|PPP1R15A|TRIB1|KLF4|CXCR4|F2RL1|IL2RG|SLPI|ADAM17|TMEM176A|LAPTM5|ITGA2|RABGAP1L|GLRX|CTSS|ID2|RBM4|DUSP6|MAFB|TOR1AIP2|PIGR|TMEM176B|ACE|ETS1|FUCA1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.39338539195083,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_COMPLEMENT",1e-10,5e-10,NA,-0.597922373063773,-2.39671889969706,127,"TIMP2|DUSP5|CDA|PLAUR|CD55|CASP5|CD59|F3|MAFF|TNFAIP3|C4BPB|CPM|LRP1|PDP1|CASP10|JAK2|CA2|PPP2CB|IRF1|DOCK4|EHD1|IRF7|CTSD|CXCL1|DYRK2|CPQ|HNF4A|CASP7|LGALS3|FN1|SIRT6|C1R|PIM1|PRSS3|RHOG|CCL5|GPD2|CTSL|PIK3CA|CTSS|PCLO|DUSP6|COL4A2|PSEN1|CLU|PRKCD|MMP15","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.39671889969706,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1e-10,5e-10,NA,-0.640788938040616,-2.43841372073839,87,"SERPINE2|TGM2|ANPEP|PLAUR|LAMA3|SLC6A8|COL3A1|DST|MYLK|LAMC2|PMP22|LGALS1|CD59|THBS1|TNFAIP3|FSTL1|LRP1|NNMT|PLOD2|VIM|DAB2|MMP3|CXCL1|SAT1|QSOX1|EMP3|IL15|SDC4|FN1|PMEPA1|TAGLN|ACTA2|ITGA2|VEGFA|RHOB|IL32|ID2|BMP1|GADD45B|COL4A2","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.43841372073839,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_HYPOXIA",1e-10,5e-10,NA,-0.629606604612198,-2.54064174239026,139,"TGM2|ERRFI1|HMOX1|PLAC8|CDKN1A|PLAUR|ISG20|ADM|MXI1|HK2|SULT2B1|CCNG2|SLC2A3|F3|MAFF|TNFAIP3|PNRC1|PFKFB3|HS3ST1|PPARGC1A|TIPARP|PPP1R15A|PDK1|KLF6|SLC2A1|WSB1|ALDOB|ATF3|CXCR4|NDRG1|GCNT2|BNIP3L|DUSP1|IDS|FOSL2|BTG1|DDIT4|BHLHE40|ZFP36|NFIL3|TPST2|SDC4|CA12|S100A4|UGP2|PIM1|EFNA1|IRS2|VEGFA|GLRX|SLC6A6|TES|PLIN2|ZNF292|DDIT3|CITED2|EGFR|P4HA1|EXT1|PFKP|KDM3A|FOXO3|AMPD3|ETS1|KLHL24|PCK1|NDST1|SELENBP1|IER3|HK1","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-2.54064174239026,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-10,5e-10,NA,-0.733449382152587,-3.01597082606363,157,"DUSP5|TNFAIP2|IL1B|IFIT2|MXD1|CDKN1A|KLF2|PLAUR|BIRC3|B4GALT1|LAMB3|TUBB2A|SLC2A3|TSC22D1|F3|MAFF|CCL20|TNFAIP3|HBEGF|PNRC1|PFKFB3|BMP2|ABCA1|SPSB1|SGK1|DNAJB4|TIPARP|ICAM1|SOCS3|EGR3|IL18|PPP1R15A|RCAN1|IRF1|EDN1|TRIB1|KLF4|KLF6|EHD1|PHLDA2|ATF3|CCNL1|KDM6B|B4GALT5|F2RL1|RNF19B|NFKBIA|DUSP1|CXCL1|ZBTB10|SAT1|PANX1|FOSL2|ICOSLG|BTG1|BCL6|LITAF|BHLHE40|EGR1|ZFP36|NFIL3|EGR2|SDC4|JAG1|DUSP4|PMEPA1|MAP3K8|LDLR|EFNA1|IRS2|MAP2K3|SQSTM1|MCL1|PDLIM5|IFNGR2|CCL5|RELB|PHLDA1|SIK1|ZC3H12A|ATP2B1|PDE4B|SMAD3|VEGFA|RHOB|IL6ST|REL|SERPINB8|TANK|KLF10|BTG2|ID2|GADD45B|CLCF1|CFLAR|JUNB","Hallmark",FALSE,"SCP259 11-paired-donor pseudobulk ranking; fgseaMultilevel Hallmark",11,-3.01597082606363,NA,NA,1e-10,5e-10,"Pre-specified: FDR<0.05, positive NES, sorted descending by NES, maximum 8; full Hallmark results retained in this source table"
