"module","n_genes","median_rank","median_percentile","enrichment_P","FDR"
"Reactome_purine_GART_excluded",4,286,0.0726441452882906,0.00193986101657736,0.0027158054232083
"Reactome_DNA_replication",69,1056,0.268224536449073,6.67638207131118e-06,4.67346744991783e-05
"Reactome_DNA_repair",112,1233.5,0.313309626619253,0.000243780356029362,0.000784177236291633
"Reactome_mitotic_cell_cycle",215,1412,0.358648717297435,0.000694852050967745,0.00121599108919355
"GO_intestinal_stem_cell_homeostasis",4,1338.5,0.33997967995936,0.102918630544016,0.120071735634685
"MSigDB_LEI_MYB_targets",195,1405,0.356870713741427,0.0003360759584107,0.000784177236291633
"Reactome_MHCII_antigen_presentation",61,2058,0.522733045466091,0.952638348763489,0.952638348763489
