donor_id,sample_id,condition,GART_undetected_mean,GART_detected_mean,difference,n_undetected,n_detected
GI 6925,HC1,HC,0.5415172193429265,0.561410524986885,0.019893305643958525,483,21
TIP 517,HC2,HC,0.6474167083423538,0.6797836826100317,0.032366974267677984,458,108
GI 6266,UC1,UC,0.5377122003704765,0.555571073291486,0.017858872921009517,176,7
GI 6264,UC2,UC,0.5511906556539987,0.5554316503909263,0.004240994736927628,750,44
GI 6658,UC3,UC,0.5466748938671503,0.5606921101851656,0.014017216318015335,393,33
BB4652,UC4,UC,0.5980533100483266,0.6597357492065963,0.06168243915826965,465,104
GI 4980,UC5,UC,0.5811378934524214,0.6144958892639544,0.03335799581153298,311,38
