signature,rank,gene,log2FC,P,FDR,matched_singlecell,projection_weight
SC_GART_NEAREST_CENTROID_PROGRAM,478,FANCG,0.50482055222848,0.000550102816635,0.0061457311691468,True,0.028782309464422173
SC_GART_NEAREST_CENTROID_PROGRAM,479,STOML2,0.172396918756,0.0013272133320206,0.0111317542078959,True,0.06445474244862393
SC_GART_NEAREST_CENTROID_PROGRAM,480,ARHGEF39,0.304712312814653,0.0008989508787596,0.0086926071933008,True,0.028545610725883463
SC_GART_NEAREST_CENTROID_PROGRAM,481,HINT2,0.150239416933106,0.0030390778563701,0.0197598132223937,True,0.07834415135068451
SC_GART_NEAREST_CENTROID_PROGRAM,482,MELK,0.51371075234319,2.20016050365395e-06,0.0001578696995178,True,0.042910996105525845
SC_GART_NEAREST_CENTROID_PROGRAM,483,TOMM5,0.25428134200537,0.0002039426099715,0.0030766590516375,True,0.07408627125195344
SC_GART_NEAREST_CENTROID_PROGRAM,484,EXOSC3,0.310109717996629,4.69526868493041e-05,0.0011744479803426,True,0.07161748454432104
SC_GART_NEAREST_CENTROID_PROGRAM,485,CEP78,0.328438695253317,0.0013944710496022,0.0115069457609984,True,0.038903671052207045
SC_GART_NEAREST_CENTROID_PROGRAM,486,PSAT1,0.449957479178216,0.001584488098844,0.0125585766875232,True,0.03774671747238667
SC_GART_NEAREST_CENTROID_PROGRAM,487,RMI1,0.358763931774569,0.0067233824169005,0.0342383756155622,True,0.02639713456141124
SC_GART_NEAREST_CENTROID_PROGRAM,488,CKS2,0.311146075422177,5.89614663606158e-05,0.0013914689375887,True,0.07889873330362518
SC_GART_NEAREST_CENTROID_PROGRAM,489,NOL8,0.246788933932953,0.0076984345119786,0.0374233155190866,True,0.04122043299872724
SC_GART_NEAREST_CENTROID_PROGRAM,490,CENPP,0.892984165017153,1.84383608823129e-06,0.0001418545459041,True,0.021119892785157912
SC_GART_NEAREST_CENTROID_PROGRAM,491,PTCH1,0.596690423487547,0.0045174994803547,0.0259704228438402,True,0.012871447378977163
SC_GART_NEAREST_CENTROID_PROGRAM,492,ZNF367,0.567075859838272,0.000569355607036,0.0063009558089064,True,0.025757240463653464
SC_GART_NEAREST_CENTROID_PROGRAM,493,XPA,0.262866969050228,0.0049684964931835,0.0278044562637115,True,0.05490925170550798
SC_GART_NEAREST_CENTROID_PROGRAM,494,ANP32B,0.19732576791499,0.0010253813047554,0.009305576729828,True,0.06930080836344488
SC_GART_NEAREST_CENTROID_PROGRAM,495,ANKS6,0.254080961872473,0.0061728091087613,0.0322529993367591,True,0.02679125818787953
SC_GART_NEAREST_CENTROID_PROGRAM,496,TEX10,0.309969609348423,0.0068598909964223,0.0347133340426794,True,0.017888776711598497
SC_GART_NEAREST_CENTROID_PROGRAM,497,SMC2,0.315918471578056,0.0001369386804786,0.0023532481536133,True,0.07992548200486826
SC_GART_NEAREST_CENTROID_PROGRAM,498,CTNNAL1,0.391075584086054,0.0002715961545772,0.0037179892585799,True,0.05637644556807797
SC_GART_NEAREST_CENTROID_PROGRAM,499,POLE3,0.228700808573115,0.0059165861175681,0.0313662789506361,True,0.06919277675582469
SC_GART_NEAREST_CENTROID_PROGRAM,500,PHF19,0.319825113722954,0.0006200877748272,0.0066373014297939,True,0.05128754446898243
SC_GART_NEAREST_CENTROID_PROGRAM,501,PSMB7,0.132190676674812,0.0054687564621296,0.029692441486896,True,0.057011458221359224
SC_GART_NEAREST_CENTROID_PROGRAM,502,STXBP1,0.524412090801713,0.0044124878053966,0.0256542349034626,True,0.014290645285810366
SC_GART_NEAREST_CENTROID_PROGRAM,503,PTRH1,0.189393264808888,0.005405894864366,0.0294507282504171,True,0.060640604205833504
SC_GART_NEAREST_CENTROID_PROGRAM,504,FPGS,0.186991427107463,0.0075741532690316,0.0370765986044778,True,0.05957001500177195
SC_GART_NEAREST_CENTROID_PROGRAM,505,DPM2,0.303439375475049,8.82673334048595e-05,0.0018402273124127,True,0.07623442770696809
SC_GART_NEAREST_CENTROID_PROGRAM,506,TRUB2,0.270462390624821,0.0005242385037785,0.005939431999967,True,0.063674872787984
SC_GART_NEAREST_CENTROID_PROGRAM,507,WDR34,0.409070770456822,2.67366047983277e-08,9.66814009597784e-06,True,0.10174887302911195
SC_GART_NEAREST_CENTROID_PROGRAM,508,ENDOG,0.244170465061223,0.00078706970005,0.007849047345929,True,0.06917125935185942
SC_GART_NEAREST_CENTROID_PROGRAM,509,NUP188,0.42413049993501,0.000198373580309,0.0030210307169281,True,0.030666917494891366
SC_GART_NEAREST_CENTROID_PROGRAM,510,EXOSC2,0.391049705498665,0.0002423304256012,0.0034606755442598,True,0.03339503887066242
SC_GART_NEAREST_CENTROID_PROGRAM,511,FIBCD1,0.320818306083121,0.0010147712450111,0.0092498086153126,True,0.03810427754201162
SC_GART_NEAREST_CENTROID_PROGRAM,512,GTF3C5,0.197534748101923,0.0106352144433641,0.0467804791063825,True,0.044856308182439464
SC_GART_NEAREST_CENTROID_PROGRAM,513,SURF2,0.245526273091211,0.0011871185327545,0.0103506789679038,True,0.06383366073023555
SC_GART_NEAREST_CENTROID_PROGRAM,514,C9orf116,0.517162052391349,0.0009895044066087,0.0091230845167152,True,0.01535330486740405
SC_GART_NEAREST_CENTROID_PROGRAM,515,MRPS2,0.280874338347421,0.0003266604270838,0.0042451143982923,True,0.07731672308827997
SC_GART_NEAREST_CENTROID_PROGRAM,516,LRRC26,0.548225095267916,7.44779903805674e-05,0.0016421905691158,True,0.05554965857778116
SC_GART_NEAREST_CENTROID_PROGRAM,517,ZMYND19,0.396103137778778,0.0011296142671119,0.0099809235440813,True,0.03159457691622036
SC_GART_NEAREST_CENTROID_PROGRAM,518,TALDO1,0.110293115853995,0.0087284932156035,0.0407559348775108,True,0.060176486211430236
