panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note
J,DSS_CBC_03,Model,White blood cell count (WBC),11.9,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
J,DSS_CBC_04,Model,White blood cell count (WBC),8.2,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
J,DSS_CBC_05,Model,White blood cell count (WBC),12.3,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
J,DSS_CBC_06,Model,White blood cell count (WBC),13.5,10^9/L,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_01,Control,Granulocyte percentage (Gran%),19.3,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_02,Control,Granulocyte percentage (Gran%),21.8,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_03,Control,Granulocyte percentage (Gran%),22.9,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_04,Control,Granulocyte percentage (Gran%),27.6,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_05,Control,Granulocyte percentage (Gran%),28.8,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,CTRL_CBC_06,Control,Granulocyte percentage (Gran%),31.3,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,DSS_CBC_01,Model,Granulocyte percentage (Gran%),37.8,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,DSS_CBC_02,Model,Granulocyte percentage (Gran%),39.9,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,DSS_CBC_03,Model,Granulocyte percentage (Gran%),40.3,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,DSS_CBC_04,Model,Granulocyte percentage (Gran%),45.4,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
I,DSS_CBC_05,Model,Granulocyte percentage (Gran%),45.7,%,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
