panel,mouse_id,group,endpoint,value,unit,included_in_analysis,missing_reason,source_record,animal_identity_note
L,DSS_CYT_04,Model,IL-1beta,31.72747,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
L,DSS_CYT_05,Model,IL-1beta,49.56995,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
L,DSS_CYT_06,Model,IL-1beta,42.271457,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_01,Control,TNF-alpha,30.522592,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_02,Control,TNF-alpha,40.078941,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_03,Control,TNF-alpha,39.916601,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_04,Control,TNF-alpha,34.934331,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_05,Control,TNF-alpha,48.15323,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,CTRL_CYT_06,Control,TNF-alpha,51.463339,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_01,Model,TNF-alpha,120.916333,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_02,Model,TNF-alpha,115.280835,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_03,Model,TNF-alpha,129.08788,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_04,Model,TNF-alpha,100.771718,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_05,Model,TNF-alpha,138.425816,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
M,DSS_CYT_06,Model,TNF-alpha,83.231784,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_01,Control,IL-10,204.528657,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_02,Control,IL-10,182.768842,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_03,Control,IL-10,240.8106812,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_04,Control,IL-10,213.2231835,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_05,Control,IL-10,223.5626204,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,CTRL_CYT_06,Control,IL-10,237.4268654,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_01,Model,IL-10,43.56242286,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_02,Model,IL-10,96.57553588,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_03,Model,IL-10,36.88878629,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_04,Model,IL-10,45.06634096,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_05,Model,IL-10,48.591149,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
O,DSS_CYT_06,Model,IL-10,69.59900496,pg/mL,Yes,NA,Final archived endpoint table exported from Prism,Mouse source-position ID; cross-endpoint animal mapping not archived
