Figure,Panel,Specimen_type,Quantification_source_data_public,Raw_or_minimally_processed_images_public,Availability,Notes
Figure 7,A,Human colonic mucosa,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",De-identified participant-level quantification is included; multiple fields of view were averaged within participant.
Figure 7,B,Human colonic mucosa,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",Only de-identified numerical quantification is included; see provenance for statistical-unit limitations.
Figure 7,C,Human colonic mucosa,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",Only de-identified numerical quantification is included; see provenance for statistical-unit limitations.
Figure 8,E,Mouse colon,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",De-identified mouse-level quantification is included; multiple fields of view were averaged within each randomly selected mouse.
Figure 8,P,Mouse colon,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",De-identified mouse-level quantification is included; multiple fields of view were averaged within each randomly selected mouse.
Figure 9,A,Mouse colon,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",De-identified mouse-level quantification is included; multiple fields of view were averaged within each randomly selected mouse.
Figure 9,B,Mouse colon,Yes,No,"Available from the corresponding author upon reasonable request, subject to applicable institutional and ethical requirements.",De-identified mouse-level quantification is included; multiple fields of view were averaged within each randomly selected mouse.
