"marker_group","gene","epithelial_state","n_cells","average_expression","percent_expressed","avg_exp_scaled"
"Stem / ISC","LGR5","Absorptive epithelial cells",65675,0.00567204122812035,0.383707651313285,-0.626163625884545
"Stem / ISC","LGR5","Goblet cells",36188,0.0166427433569826,2.32397479827567,-0.0804180828105939
"Stem / ISC","LGR5","Regenerative epithelial cells",9570,0.0359571378694297,6.17554858934169,0.880390496123368
"Stem / ISC","LGR5","Stem/ISC-like epithelial cells",9306,0.0593516722176459,9.6067053513862,2.04416859372025
"Stem / ISC","LGR5","TA / proliferating cells",696,0,0,-0.908323435167362
"Stem / ISC","LGR5","BEST4+ epithelial cells",2838,0.00214877245937382,0.246652572233968,-0.80143118898212
"Stem / ISC","LGR5","Rare epithelial cells",1821,0.00993316952431298,1.4277869302581,-0.41419070484466
"Stem / ISC","LGR5","Low-confidence / other epithelial",7025,0.0163690722214926,0.939501779359431,-0.0940320521543384
"Stem / ISC","ASCL2","Absorptive epithelial cells",65675,0.0429490556974351,2.51084887704606,-0.765327315152208
"Stem / ISC","ASCL2","Goblet cells",36188,0.136748312232508,12.2913673040787,0.0231239863782049
"Stem / ISC","ASCL2","Regenerative epithelial cells",9570,0.209292979256401,23.1243469174504,0.632914929792481
"Stem / ISC","ASCL2","Stem/ISC-like epithelial cells",9306,0.293576067450926,27.7885235332044,1.34137588181642
"Stem / ISC","ASCL2","TA / proliferating cells",696,0.00677627636694707,0.862068965517241,-1.06938596120802
"Stem / ISC","ASCL2","BEST4+ epithelial cells",2838,0.0054590527208381,0.704721634954193,-1.08045818860667
"Stem / ISC","ASCL2","Rare epithelial cells",1821,0.290987899245525,16.5293794618342,1.31962043656548
"Stem / ISC","ASCL2","Low-confidence / other epithelial",7025,0.0861890253513199,4.75444839857651,-0.401863769585687
"Stem / ISC","SMOC2","Absorptive epithelial cells",65675,0.0152104358923457,0.930338789493719,-0.736722461235248
"Stem / ISC","SMOC2","Goblet cells",36188,0.0521945902429541,5.09561180501824,0.150151986493574
"Stem / ISC","SMOC2","Regenerative epithelial cells",9570,0.0761760823061697,9.98955067920585,0.725224552102406
"Stem / ISC","SMOC2","Stem/ISC-like epithelial cells",9306,0.126217981835301,14.2488716956802,1.9252217613794
"Stem / ISC","SMOC2","TA / proliferating cells",696,0.00300112572912857,0.431034482758621,-1.02949987897753
"Stem / ISC","SMOC2","BEST4+ epithelial cells",2838,0.0018170154857201,0.246652572233968,-1.05789466416627
"Stem / ISC","SMOC2","Rare epithelial cells",1821,0.0419535922734988,4.11861614497529,-0.0954256014715599
"Stem / ISC","SMOC2","Low-confidence / other epithelial",7025,0.0508931775346849,2.91814946619217,0.118944305875224
"Stem / ISC","OLFM4","Absorptive epithelial cells",65675,0.546465003196136,20.1492196421774,-0.473202166276282
"Stem / ISC","OLFM4","Goblet cells",36188,0.53538588020381,29.3660882060352,-0.485285878278521
"Stem / ISC","OLFM4","Regenerative epithelial cells",9570,1.25648504689572,64.3155694879833,0.3011982740677
"Stem / ISC","OLFM4","Stem/ISC-like epithelial cells",9306,2.65010134895111,93.5418009886095,1.82117941764069
"Stem / ISC","OLFM4","TA / proliferating cells",696,0.130029224209608,16.0919540229885,-0.927397866079095
