"analysis","random_structure","term","estimate","SE","CI_low","CI_high","P","OR","OR_CI_low","OR_CI_high","n_cells","n_donors","isSingular","convergence_warning","donor_variance","sample_variance","residual_variance","primary"
"Primary raw GART count >=1","donor-only","conditionUC",0.880782595453111,0.533423868754813,-0.164728187306322,1.92629337821254,0.0987003822894522,2.41278720404255,0.848124203684516,6.86402070203974,9306,33,FALSE,"",0.0331549202022884,NA,0,TRUE
"Primary raw GART count >=1","donor/sample","conditionUC",0.916648987319772,0.530802167413388,-0.123723260810469,1.95702123545001,0.0841833489043462,2.50089579906691,0.883624340533722,7.07821130641638,9306,33,FALSE,"",0.00316082962080093,0.0436289930260905,0,FALSE
"Sensitivity raw GART count >=2","donor-only","conditionUC",0.405076244593863,0.799411112166471,-1.16176953525242,1.97192202444015,0.612352484176553,1.49941681812497,0.312931946547605,7.18447195717681,9306,33,FALSE,"",0.0352748757720142,NA,0,FALSE
"Sensitivity raw GART count >=2","donor/sample","conditionUC",0.40020766319592,0.802814453372802,-1.17330866541477,1.97372399180661,0.61812758055947,1.49213452689469,0.309341737863815,7.19742981249888,9306,33,FALSE,"",0.0227906498412825,0.0280356012399309,0,FALSE
"Cohort-specific >=1: GSE214695","donor-only","conditionUC",-0.364178259397182,0.92633295151916,-2.17979084437474,1.45143432558037,0.694216302973373,0.694767334897347,0.113065176385206,4.2692335966985,136,11,TRUE," | boundary (singular) fit: see help('isSingular')",0,NA,0,FALSE
"Cohort-specific >=1: SCP259","donor-only","conditionUC",1.58903710957519,0.771048835001404,0.0777813929724378,3.10029282617794,0.0393147389789468,4.89902942798335,1.08088634349026,22.2044523744722,9170,22,FALSE,"",0.0336305104873268,NA,0,FALSE
"Continuous log1p raw GART count","donor-only","conditionUC",0.111473196465082,0.0697244908664745,-0.0251868056332078,0.248133198563372,0.109872443469188,NA,NA,NA,9306,33,FALSE,"",0.000957969674697847,NA,0.143062735785105,FALSE
"Hurdle positive-expression component","donor-only","conditionUC",0.0531649628684888,0.115570372813027,-0.173352967845045,0.279682893582023,0.645500126162187,NA,NA,NA,3080,25,FALSE,"",0.00106773848774508,NA,0.0616617165741655,FALSE
