"final_ISClike_cluster","n_cells","StemISC_score_mean","TA_score_mean","GART_mean","GART_detected_fraction","Purine_ex_GART_mean","UC_fraction"
"0",2719,0.444258281951565,0.83043650682706,0.242055476423599,0.440235380654652,0.276130300648683,0.999264435454211
"1",1678,0.438328395483133,0.742789359726344,0.208792460607504,0.429678188319428,0.189131691809912,1
"2",1206,0.604567137046707,0.391299655926454,0.139306982770915,0.24212271973466,0.0958848670241705,1
"3",982,0.272490872002162,0.5038567898262,0.15086246840981,0.273930753564155,0.160462271811743,0.979633401221996
"4",886,0.444386711392875,0.146665671800043,0.108927431696261,0.196388261851016,0.0163187992881511,0.99548532731377
"5",700,0.627647815769688,0.110542568438094,0.0632589833279824,0.134285714285714,-0.0385381105484447,1
"6",573,0.673050584669859,0.232813033859216,0.144664876775179,0.333333333333333,0.0412686031635944,1
"7",560,0.55260246706804,0.546291617357435,0.153046413028027,0.25,0.168103479832188,0.991071428571429
"8",2,0.112221859621024,1.00614061785142,0.996777854864038,1,0.35235277690311,0
